,E007_Time[h],E007_6803_deltaKaiA3B3_rep1,E007_6803_deltaKaiA3B3_rep2,E007_6803_deltaKaiA3B3_rep3,E007_6803_deltaKaiA3B3_rep4,E007_6803_deltaKaiA3B3_rep5,E008_Time[h],E008_6803_deltaKaiA3B3_rep1,E008_6803_deltaKaiA3B3_rep2,E008_6803_deltaKaiA3B3_rep3,E008_6803_deltaKaiA3B3_rep4,E011_Time[h],E011_6803_deltaKaiA3B3_rep1,E011_6803_deltaKaiA3B3_rep2,E011_6803_deltaKaiA3B3_rep3,E011_6803_deltaKaiA3B3_rep4,E011_6803_deltaKaiA3B3_rep5
106,8.871944444444445,-1.88515517163542,-1.522045674170672,-1.620348020113254,-1.4093990999668455,-1.860832420234344,8.872222222222222,-2.0723279813127595,-1.9438498506433923,-2.1130620976702525,-2.082189640009854,8.872222222222222,-2.2612430779012502,-2.246651596290704,-2.309050188367892,-2.1838693809275465,-2.341343675739972
107,8.955277777777777,-1.919694247530332,-1.5432812908749804,-1.6517609778959037,-1.441834702302328,-1.902567172575854,8.955555555555556,-2.117727600812818,-1.984380120919936,-2.159665221748368,-2.1303792784441704,8.955555555555556,-2.3046055854546865,-2.295488359424134,-2.362512196652361,-2.2333897616096934,-2.3950682929589684
108,9.04138888888889,-1.962756620026736,-1.5671576672434335,-1.6796815369733398,-1.4725865184123497,-1.9432480552148848,9.038888888888888,-2.155100245944541,-2.029175767881393,-2.202026559345541,-2.172352956568268,9.038888888888888,-2.3510572726306656,-2.351288246254454,-2.4081718936027348,-2.2798586172381707,-2.4388585533111486
109,9.12472222222222,-2.002542905733785,-1.5904743300523556,-1.704909549241107,-1.502452919734807,-1.98107608155826,9.125,-2.1934462538265334,-2.073836525400305,-2.250146734430793,-2.214711041882928,9.1225,-2.38739987925199,-2.398652990722475,-2.4552316080223417,-2.3272771122530957,-2.4759167770308994
110,9.208055555555555,-2.032653720573908,-1.6144308064519162,-1.7282448670578885,-1.5252322817319064,-2.011852262821193,9.208333333333332,-2.2413659616204176,-2.11476212883113,-2.292826370279525,-2.255453901808345,9.208333333333332,-2.432635141171534,-2.4497843212452803,-2.4972936634663543,-2.374646408944395,-2.530045278624486
111,9.29138888888889,-2.0664896797828107,-1.6274266239661277,-1.7532873432455038,-1.551522983890164,-2.048377608027286,9.291666666666666,-2.2768597065308365,-2.152152315010242,-2.3356660894735177,-2.2957819036841363,9.291666666666666,-2.466364790272237,-2.489883960716225,-2.5451603782417904,-2.4187676674518057,-2.556246366870055
112,9.37472222222222,-2.0936513979094737,-1.6366613104928471,-1.7760368310889123,-1.580923409720408,-2.0770531240085366,9.375,-2.310927825805453,-2.189206822255934,-2.366866513900935,-2.339495414769332,9.375,-2.4979905544671115,-2.5323536265049365,-2.585234065407512,-2.458442045764873,-2.583722344817632
113,9.458055555555555,-2.126139488816153,-1.6453343943037753,-1.801693184336211,-1.6112319467577785,-2.1070798154053283,9.458333333333332,-2.345970656734948,-2.221125390368417,-2.403028264756325,-2.369194802242381,9.458333333333332,-2.528514157699233,-2.573595030457313,-2.617317032774224,-2.488270699722952,-2.6160755097891237
114,9.54138888888889,-2.149354565678381,-1.6588454040444558,-1.8198562571986356,-1.6368469865617223,-2.1322586846664366,9.541666666666666,-2.377588536653022,-2.256107760629817,-2.4321519625406136,-2.401480433201152,9.541666666666666,-2.565137319941749,-2.617409878895528,-2.6546115829044794,-2.5264547830152075,-2.646708153378316
115,9.62472222222222,-2.1784972409849663,-1.6709938687342776,-1.841125904350557,-1.6589669247159995,-2.1563907320490285,9.625,-2.397581802936396,-2.2807536758041764,-2.4632382270611104,-2.431552674662929,9.625,-2.5972617571978738,-2.655399872618021,-2.6949200131126734,-2.545795447180613,-2.6786225614508754
116,9.708055555555555,-2.1997681265379923,-1.679379317766474,-1.854701980929488,-1.6719901608286816,-2.179076955618661,9.708333333333332,-2.423350793004808,-2.30866288013746,-2.4954876774315053,-2.467011893564416,9.708333333333332,-2.6224891815008915,-2.689766706899507,-2.730644615465046,-2.573893841607952,-2.7132210141443505
117,9.79138888888889,-2.2173678334528173,-1.6880012809081193,-1.8665843425360769,-1.6895150985321483,-2.19971835124928,9.791666666666666,-2.4500958443210203,-2.334635119357544,-2.526300932071872,-2.499658456761733,9.791666666666666,-2.644821300914153,-2.7221120714909737,-2.763387676779684,-2.6045511135358166,-2.7417057858681693
118,9.8775,-2.2364969721580783,-1.6824592883001337,-1.869172845234112,-1.7095401454830927,-2.212715912623225,9.875,-2.47341729439081,-2.3596701406742264,-2.562278608708665,-2.5270927310304176,9.875,-2.669859819531079,-2.7504376506196784,-2.7957514786265154,-2.6333684080526085,-2.770279145303638
119,9.960833333333332,-2.2549561523956845,-1.6841528704572823,-1.885267345550517,-1.7162637133625165,-2.232670631231225,9.96111111111111,-2.497315480762974,-2.387967692779219,-2.5876213243747186,-2.5525150830654257,9.95861111111111,-2.686206437475158,-2.777745122989152,-2.818738297327317,-2.66054686809654,-2.789543355403944
120,10.044166666666666,-2.2711459832208245,-1.6868815582681718,-1.8964677004753565,-1.7216842178757328,-2.2485834963723983,10.044444444444444,-2.528390741029331,-2.414527525846153,-2.614529695409252,-2.568925879481132,10.044444444444444,-2.705462850899948,-2.811436161779195,-2.848350403955708,-2.682487634455629,-2.810300673394156
121,10.1275,-2.286067073001959,-1.6868448829952545,-1.9011737674618323,-1.7416000787523656,-2.261255495154254,10.127777777777778,-2.540443412824719,-2.435949391530575,-2.638004337457864,-2.587725486811325,10.127777777777778,-2.7208307519890718,-2.840912434645883,-2.86819006433715,-2.696591845767708,-2.824153350771222
122,10.210833333333332,-2.307520029420828,-1.6914423762748252,-1.905985404426284,-1.7484097197463484,-2.271687612492694,10.21111111111111,-2.553273833826992,-2.4572330429699507,-2.662645865472534,-2.601514271509215,10.21111111111111,-2.737111828956224,-2.858975603721561,-2.890859539048954,-2.711860638520415,-2.848903633303971
123,10.294166666666666,-2.318705459472444,-1.6922735701170235,-1.913702469748188,-1.755911568635927,-2.280880831112009,10.294444444444444,-2.568082341757026,-2.476578234783662,-2.6814548937116265,-2.6188925999474275,10.294444444444444,-2.747307766045169,-2.8704273256148456,-2.9085610834202726,-2.727295147051198,-2.8675537610331103
124,10.3775,-2.326623969465097,-1.692937996905833,-1.9191248222701611,-1.7651040572236565,-2.29003613154488,10.377777777777778,-2.583869274378718,-2.490584723073007,-2.6928320357398845,-2.629260838418007,10.377777777777778,-2.7570202435297344,-2.8880692514106268,-2.9298969475321037,-2.742096503547316,-2.88150596827123
125,10.460833333333332,-2.3312761650203533,-1.6906351893990794,-1.928252321297958,-1.7759856213364045,-2.3047544921323797,10.46111111111111,-2.59843496949898,-2.506652265421204,-2.704377904428433,-2.638819353132414,10.46111111111111,-2.7646509377138213,-2.908903026670065,-2.9496693762172894,-2.7570658380458344,-2.9055624836028
126,10.544166666666666,-2.3424626510730526,-1.6845646807284345,-1.9338848266004705,-1.785354700825347,-2.3152368890239687,10.544444444444444,-2.610779764967748,-2.5273806208933856,-2.713493111954783,-2.6533685102215285,10.544444444444444,-2.775601520931396,-2.926530291430595,-2.9700806090605187,-2.77700427843363,-2.913725529884168
127,10.6275,-2.349984031871312,-1.6783260043994137,-1.9356221984097268,-1.7954097395659718,-2.3220842961775032,10.627777777777778,-2.621903998677974,-2.534969550036603,-2.7293782698028206,-2.6603086757356484,10.627777777777778,-2.7848736615464937,-2.9379526802059197,-2.980532880398321,-2.78271295044739,-2.9205973242435643
128,10.71361111111111,-2.347440910976525,-1.6673186942913747,-1.935864297420898,-1.806349185458077,-2.3294976853592244,10.71111111111111,-2.6292080085656315,-2.542218814879825,-2.742433988762818,-2.6696402156444865,10.71111111111111,-2.79066902395322,-2.9533718219860168,-2.9894284193190765,-2.78919297767361,-2.9315800780810983
129,10.796944444444444,-2.3560338912633587,-1.6627422846575204,-1.9352109847922887,-1.811971490425773,-2.3344780261437688,10.797222222222222,-2.640692132609712,-2.5467281789339378,-2.7474608789314274,-2.676363495837176,10.79472222222222,-2.7909892685757463,-2.9663893402371357,-2.9947694496630035,-2.799045481548593,-2.933875997068761
