,E007_Time[h],E007_6803_WT_rep1,E007_6803_WT_rep2,E007_6803_WT_rep3,E007_6803_WT_rep4,E007_6803_WT_rep5,E008_Time[h],E008_6803_WT_rep1,E008_6803_WT_rep2,E008_6803_WT_rep3,E008_6803_WT_rep4,E011_Time[h],E011_6803_WT_rep1,E011_6803_WT_rep2,E011_6803_WT_rep3,E011_6803_WT_rep4,E011_6803_WT_rep5
132,11.046944444444444,-1.3315864867642886,-1.3012630716840892,-1.3462796668671977,-1.3257466718186142,-1.2664379133991348,11.047222222222222,-1.1119488146249792,-1.040648022630976,-1.075162302129285,-1.041707372505458,11.047222222222222,-1.933014977853396,-1.9428812659492407,-1.9514625545439843,-1.9976662793851991,-1.940718696444871
133,11.130277777777778,-1.365158835593142,-1.3388263026990983,-1.3764398819991963,-1.361952225482682,-1.3073965752304284,11.130555555555556,-1.1530316675561985,-1.0799841153922176,-1.1063860143755864,-1.0914552889046956,11.130555555555556,-1.977522638553998,-1.9942636435994372,-2.0017715354707364,-2.040855388321451,-1.9858304965322864
134,11.21361111111111,-1.4066368993042166,-1.3721039864749391,-1.4103096324428412,-1.3992887471940143,-1.337676031809404,11.213888888888889,-1.2086685208066008,-1.1314824156194772,-1.1523599392429849,-1.135187339959898,11.213888888888889,-2.024398691636071,-2.025819107796213,-2.037136745220589,-2.080438269788501,-2.029101677392587
135,11.296944444444444,-1.4400179702280966,-1.3950934137474964,-1.4412861236679362,-1.4291533059677093,-1.3724734380733654,11.297222222222222,-1.2566563550351852,-1.1747398340686188,-1.2020810460646545,-1.1881002469870758,11.297222222222222,-2.064640361226062,-2.0747448401723902,-2.071554638330807,-2.1290119088704467,-2.0709294410685777
136,11.380277777777778,-1.4758993480113378,-1.437391882453225,-1.4771665686867244,-1.4597429786518628,-1.4033859564810636,11.380555555555556,-1.3055921592292523,-1.221153289930606,-1.2417463125667905,-1.2361907402555037,11.380555555555556,-2.10284487963017,-2.1272380305360428,-2.127221678609755,-2.172373299415397,-2.109110997853352
137,11.46361111111111,-1.5118783396164672,-1.4779966977291514,-1.5061481880538885,-1.490254849927572,-1.4346107570126894,11.463888888888889,-1.347872930704402,-1.2665197108315034,-1.2977527248686125,-1.2774555589877243,11.463888888888889,-2.14560948733435,-2.1782958768705027,-2.1485343391368907,-2.223319444035469,-2.1486435662902905
138,11.549722222222222,-1.5407522593219851,-1.5095051719128696,-1.5424282098665527,-1.5166860123089347,-1.4709450171698777,11.547222222222222,-1.3960956751045357,-1.3088360328324746,-1.3374972774823624,-1.326091451359544,11.547222222222222,-2.189531433004306,-2.19871558533436,-2.159889102262769,-2.266847354106788,-2.19152437317306
139,11.633055555555556,-1.5717184287223631,-1.537314624542546,-1.5772038697642785,-1.5472335661430487,-1.4961859219757088,11.633333333333333,-1.4368574064018556,-1.3550992004297857,-1.3797769733133054,-1.3670951745000364,11.630833333333332,-2.2328079734854973,-2.236694370261457,-2.219482459609046,-2.3071540497694887,-2.2353506535456145
140,11.716388888888888,-1.6043741767280455,-1.5622223823569152,-1.6074724109290697,-1.573894619610012,-1.5277306639747037,11.716666666666669,-1.4819551468968668,-1.392906166554802,-1.423988823659731,-1.41606349449154,11.716666666666669,-2.281436373803136,-2.2932294541608966,-2.258110912068471,-2.352236559927716,-2.2729196507021943
141,11.799722222222222,-1.6331168395654492,-1.584425779295283,-1.6312310840853683,-1.599266288722923,-1.562176443232828,11.8,-1.5243859272183715,-1.429853892573989,-1.4675298482129493,-1.46399318636966,11.8,-2.313013907162187,-2.326718067717035,-2.3045709698048897,-2.3920919222496213,-2.311228616187329
142,11.883055555555556,-1.6531437607769623,-1.6187221564975256,-1.6566771475000572,-1.6253456973278788,-1.5895204673374912,11.883333333333333,-1.5631467863234754,-1.4679393482889125,-1.5001970750572944,-1.4984810341232673,11.883333333333333,-2.3475378549473653,-2.363357449789485,-2.323859152253247,-2.431117183167368,-2.345274809795832
143,11.966388888888888,-1.6790522912209456,-1.6469088623040882,-1.6830078669824589,-1.6533299771039789,-1.6143599513975446,11.966666666666669,-1.601834771497585,-1.5133595119362395,-1.541187540670125,-1.545323830694498,11.966666666666669,-2.382605506723143,-2.395544847413116,-2.333971988119582,-2.471909397877126,-2.3840554995728063
144,12.049722222222222,-1.7040397890717318,-1.6741832522559867,-1.709820515884335,-1.681616267563322,-1.6396921180432842,12.05,-1.6406469383544051,-1.5507113701877375,-1.5832982899218209,-1.5845183779787535,12.05,-2.419614160233741,-2.4198775157980537,-2.3725060153810347,-2.500665630339076,-2.418567961813641
145,12.133055555555556,-1.7285036198196262,-1.7087426890948076,-1.734312375099888,-1.7082017160510068,-1.6715141974264496,12.133333333333333,-1.6847803508359445,-1.5899919181502744,-1.625526376075786,-1.6268614868247049,12.133333333333333,-2.456761121403136,-2.4597527183296792,-2.3912577812858373,-2.538782953277406,-2.4572094810640124
146,12.216388888888888,-1.7554411562709054,-1.7321845427627074,-1.75448073306576,-1.7342834777451324,-1.697623427220222,12.216666666666669,-1.7246320812125109,-1.6331981593658162,-1.6656688607884456,-1.6671499770342848,12.216666666666669,-2.4916437043350554,-2.512567726568632,-2.4116238423533227,-2.5780584481803155,-2.484577350119884
147,12.299722222222222,-1.7848497785478197,-1.7523061904024115,-1.7779228857610332,-1.7612587156567976,-1.7266170526192268,12.3,-1.7607992100827137,-1.6757271058114336,-1.6919228141092508,-1.7127806773626937,12.3,-2.5258592313129804,-2.5493198202508047,-2.4488007643739182,-2.60208920530001,-2.519868870027505
