,Time[h],6803_WT_rep1,6803_deltaKaiA3_rep3,6803_deltaKaiC3_rep1,6803_deltaKaiA3B3_rep3,6803_deltaKaiB3C3_rep1,6803_deltaKaiA3B3C3_rep3,6803_WT_rep2,6803_deltaKaiA3_rep4,6803_deltaKaiC3_rep2,6803_deltaKaiA3B3_rep4,6803_deltaKaiB3C3_rep2,6803_deltaKaiA3B3C3_rep4,6803_WT_rep3,6803_deltaKaiB3_rep1,6803_deltaKaiC3_rep3,6803_deltaKaiA3C3_rep1,6803_deltaKaiB3C3_rep3,6803_deltaKaiA1B1C1_rep1,6803_WT_rep4,6803_deltaKaiB3_rep2,6803_deltaKaiC3_rep4,6803_deltaKaiA3C3_rep2,6803_deltaKaiB3C3_rep4,6803_deltaKaiA1B1C1_rep2,6803_deltaKaiA3_rep1,6803_deltaKaiB3_rep3,6803_deltaKaiA3B3_rep1,6803_deltaKaiA3C3_rep3,6803_deltaKaiA3B3C3_rep1,6803_deltaKaiA1B1C1_rep3,6803_Wilde_WT_rep1,6803_deltaKaiA3_rep2,6803_deltaKaiB3_rep4,6803_deltaKaiA3B3_rep2,6803_deltaKaiA3C3_rep4,6803_deltaKaiA3B3C3_rep2,6803_deltaKaiA1B1C1_rep4,6803_Wilde_WT_rep2
49,4.108333333333333,1.3766377579112894,3.263623463190288,2.9918825917136624,3.797979518194544,2.4302873173180934,3.4153510607573763,1.1106598668554408,3.1255745240111064,3.42503713961968,3.8119534675041797,2.452801206849651,3.325969993910952,0.9985857682376521,1.788855727753309,2.8919610499110036,2.767167762485943,2.705176853650735,0.590858130703827,1.097113810635059,0.13156506596747283,3.2119026006223215,2.788388788302212,2.4932294961735697,0.09470250652850314,2.777017085097154,1.0724698309389342,3.448605186112732,2.7885009652071013,2.88148625765857,0.7080139812306568,45.81323779201708,2.464928260173858,1.2499375573336058,3.4372352227496275,2.2982348027830493,3.2650784573951794,0.7310934865003651,-374.89977681417315
50,4.191666666666666,1.2554808583165378,3.06826440879978,2.7871543037179416,3.654049051287692,2.721278371906781,3.290930450501338,1.2897697437608553,2.9029490091297343,2.8813206418975215,3.46050130847375,2.6651568753586705,3.0522720684650504,1.1534190717305166,1.524875160789514,2.366281248061682,2.6271224444686854,2.1813639756129044,0.44430805653360556,1.115099399018683,0.25779634370128096,2.803788497755702,2.7526722801372165,2.205577171961466,-0.023648008081156153,2.6051248579634008,1.1435279377629743,3.5795701153323902,2.761295653771237,2.9032740147679634,0.8981695845528676,36.12236965109767,2.3624988489922405,1.3618753792685074,3.2840413831156705,2.7000642346730284,2.781768293321096,0.7041066916310774,-355.89924423034756
51,4.275,1.0134930441632615,2.9228350723476977,2.712355638415418,3.4801966795845862,2.4221680292762393,3.156563333095778,1.4580343752148917,2.780204131041834,2.827502349556359,3.2490859960528957,2.3674030704375557,3.008606738880196,1.0674240977938525,1.3707774140655369,2.590393094665245,2.517166317759521,2.4074508523555744,0.47755507020466387,0.9522004551708474,0.28375917467929784,2.885573108694016,2.797012887606298,1.9374745429486497,0.1476995742841011,2.4530394857228233,1.1542641531908717,3.4305810007212214,2.2741090609108263,2.7548010188052716,0.6581814641210072,37.74871669241807,2.46975512537143,1.3135051715323518,3.0107648777106486,2.9517303420163965,2.8183407806312912,0.7570366093777159,-347.23048651186343
52,4.358333333333333,1.330678021877254,2.7573356827542055,2.927486723575229,2.9864217399268034,2.4029566147862944,2.8722490670289345,1.0554575463574007,2.4273404308049105,2.533582675621621,3.167707158187864,2.569540209745762,2.9449735482765855,1.020604569518858,1.586562767203696,2.5042977079840796,2.5472985667858015,2.4034378299551316,0.8205993200300321,1.078420996419973,0.33945412890768384,3.007256789738219,2.5814099782297553,1.988923490299925,-0.16125446522420658,2.6107618234848333,1.164679494362537,3.1616375075912257,2.5369408073993847,3.1060681299596,0.668049576998122,49.332242573394154,2.026698530124813,1.134828240847394,3.0074060563903866,1.9532332420098224,3.0247962587690322,0.679883031388764,-336.7129018363937
53,4.441666666666666,1.2970394895559774,2.4717664676835964,3.0125476859671076,2.892723569849543,2.173644452376184,3.157987011508271,1.2620430338932191,2.6643584476145956,2.519562031576119,3.086364422905644,2.2515687092547214,2.8513720401347267,1.1329642016038037,1.5122314986647547,2.3379962029147237,2.427518377207352,2.2493252531226995,0.5834409544472174,1.473765031141178,0.3248817750652589,2.5588398957925995,2.3958629203219295,2.059925891170565,0.06949015501760118,2.258292723906206,0.9447749762577249,3.0227393012113764,2.6297905142428655,2.7370762064481697,0.5677738806164071,38.08291103748698,2.2233305006118176,1.3658458907335491,2.9239652675287355,2.0145730517265643,2.871135065873534,0.5726457498515833,-299.6758894884533
54,4.525,1.3325811369687197,2.556127653544382,2.467538651361381,3.159101507581531,2.3942318645644924,2.8437765264602772,1.2877946060920475,2.531258718804558,2.5754408273600307,3.0850574183136366,2.3234889832475663,2.73780175829561,1.2345067003538106,1.9677838857480987,2.2214896909875392,2.3378249359165895,2.0551134652040526,0.5960801220182697,1.0182365587564075,0.13004268050367193,2.7503227803648804,2.6203710829911535,1.8804836187063645,0.029933717105276852,2.3956330371907457,1.0345516116961224,2.923886046807641,2.292657802679907,2.637826104516283,0.6673543327771013,40.04068591420267,2.34965247073786,1.186559421508331,2.73044285801766,1.6157498881167167,2.4773575387802564,0.6953245574925495,-321.71884985940045
55,4.608333333333333,1.4273066455563774,2.4304194654890976,2.332459744528891,2.6455548920451895,2.2947191724492235,2.6896169725305468,1.4927160227885405,2.2980417798466344,2.4212194713707236,2.6937857725999783,2.165301444319434,2.5842622469606122,1.4052357636810968,1.3732202045917115,1.9947792803670268,2.4282174310382945,2.1108028081794226,0.668516971429687,1.041839569734216,0.2649374112473109,2.6117057955659653,2.484933836139772,2.0005985420435484,0.2300765036066507,2.1327836110896756,0.8840104113372209,2.86507740956296,2.3255422941816684,2.5183186784373435,0.49679089165064017,48.065531119092526,2.1556658709543033,1.296970130287075,2.596839173267177,1.0967638680069238,2.483464013020625,0.7779192475767707,-292.1711844474356
56,4.691666666666666,1.5212196884315357,2.4546421274145187,2.247311089241138,2.622083062856567,2.045106695707833,2.585507711083795,1.3268110353821907,2.2547081643507094,2.056898370463064,2.5525491140332526,2.0170065033773117,2.440753050691462,1.4251550811047395,1.398540730172095,1.9378660758516162,2.118695051929851,1.8463936226639046,0.7307516514923742,1.214578045590039,0.22956653199344976,2.4629892921102203,2.2795505504641205,1.7502725263088623,0.10991879756167282,2.079745290901397,1.0631523836805516,2.336313054617224,2.1384436104519247,2.4585547805127748,0.5860835157764014,34.1474106537527,1.941372128258488,1.0570793109827255,2.6531545572053754,1.0376151081006308,2.4494548228221786,0.930429613908226,-294.9622958576023
57,4.775,1.2743239303785638,2.408795861961539,2.29209280827017,2.418685360325262,2.1553947525970933,2.391448104203806,1.4000833868373785,2.181258404064827,2.282477929949171,2.821347070962742,2.16860456964009,2.5972737144102847,1.4242683337508795,1.3437457363043785,1.9507511788737872,1.8692569891811133,2.031886247907104,0.6727843111418161,1.0764559588859666,0.5139306061120775,2.3341736193152633,2.064220597454676,1.7895074326195302,0.3094608824823381,1.986518919471533,1.151978535065331,2.4675926470673373,1.9713613734269253,2.0985352610721906,0.9852321640629994,31.11628860582468,1.6867726661938411,1.1368882543059262,2.259389352278539,2.158303724977919,2.665330301108628,0.8228554508298862,-267.48158780178653
58,4.858333333333333,1.5166230278534338,2.172880890515148,2.186805023388602,2.265361125454567,2.025583659953245,2.6174375146935516,1.4125368116835215,2.2376930288750922,2.267958553598466,2.420179271818211,2.0100960506385466,2.263823783399722,1.6225791943526162,1.4188354956421785,1.7134356875000094,1.9999024346144012,1.86728102179334,0.7246150994379599,1.5374772732307715,0.4280301956460815,2.0052591251020124,2.318943349395807,1.7083051180832742,0.05870304235275785,1.8331053371930155,1.3304898696708622,2.298915851967169,2.184295205275641,2.298260968473163,0.6842367957881023,43.292129148994974,1.7318689048496287,1.0663982477649474,2.1055438994508573,0.9988298350955699,2.1010907794997022,0.8051965532234624,-265.678465098717
