,E007_Time[h],E007_6803_deltaKaiC3_rep1,E007_6803_deltaKaiC3_rep2,E007_6803_deltaKaiC3_rep3,E007_6803_deltaKaiC3_rep4,E007_6803_deltaKaiC3_rep5,E008_Time[h],E008_6803_deltaKaiC3_rep1,E008_6803_deltaKaiC3_rep2,E008_6803_deltaKaiC3_rep3,E008_6803_deltaKaiC3_rep4,E011_Time[h],E011_6803_deltaKaiC3_rep1,E011_6803_deltaKaiC3_rep2,E011_6803_deltaKaiC3_rep3,E011_6803_deltaKaiC3_rep4,E011_6803_deltaKaiC3_rep5
103,8.621944444444445,-1.3260419765104348,-1.338996892275976,-1.2995128407671983,-1.2161999305773403,-1.2830833216366515,8.622222222222222,-1.689914325912684,-1.6976291368734822,-1.6626432730905436,-1.7504807596610137,8.622222222222222,-2.1782226438533585,-2.189810374357576,-2.0436741336074062,-2.019741034743549,-2.1615376859820543
104,8.705277777777777,-1.3797093877687363,-1.3851640021027585,-1.3398617225259863,-1.2506835510901764,-1.3318961277501995,8.705555555555556,-1.745044617905053,-1.754214222179774,-1.7148825329974915,-1.8135175005183373,8.705555555555556,-2.240436807449065,-2.260568960161358,-2.1207441474809903,-2.081117421921866,-2.223988190881591
105,8.788611111111111,-1.4236430253844277,-1.4415665189641516,-1.3790665692749475,-1.297409699568104,-1.3769845231980011,8.788888888888888,-1.8058399591796213,-1.8132813323560533,-1.7616753950077424,-1.8698385723487216,8.788888888888888,-2.3075722843685327,-2.332116266974324,-2.196343526312641,-2.1478212346291885,-2.28455515580444
106,8.871944444444445,-1.4670428190184372,-1.4874044215521305,-1.4033275829962009,-1.3387785154358496,-1.4267482969701035,8.872222222222222,-1.8599002754362,-1.8690301369095452,-1.8074209209393357,-1.922843693573176,8.872222222222222,-2.379230810165467,-2.399654834570551,-2.2674737533192624,-2.2212542456877458,-2.341640334184641
107,8.955277777777777,-1.5093086991028029,-1.5336776894578632,-1.4520449654344985,-1.3807901383355383,-1.4729872391643073,8.955555555555556,-1.9068254933740183,-1.9200603068901407,-1.8521181759762988,-1.9707325840093812,8.955555555555556,-2.4388141163310246,-2.468387196947392,-2.3451363084589074,-2.2836182237855787,-2.400045475279552
108,9.04138888888889,-1.551640596840667,-1.57778630317171,-1.501018918097225,-1.4216447081266956,-1.507901140986167,9.038888888888888,-1.9606155406917292,-1.9675715148904,-1.9025662286686504,-2.0175049648716934,9.038888888888888,-2.4897239302938097,-2.543515882325473,-2.409332668430776,-2.3443149334765403,-2.4519723241698506
109,9.12472222222222,-1.6018384442062787,-1.6169302440832225,-1.537649642254396,-1.4553423648862471,-1.5442897947489889,9.125,-2.0088703460874027,-2.0193634350455474,-1.9449641509324,-2.0729605587711384,9.1225,-2.5507619754198774,-2.6150434131486944,-2.473264306675218,-2.396946135180297,-2.5126226217595318
110,9.208055555555555,-1.638302173944992,-1.6627094944811454,-1.5783373389386597,-1.499483248908518,-1.578552993873834,9.208333333333332,-2.0567898392585264,-2.0624357430334768,-1.991911018049545,-2.1156990897154166,9.208333333333332,-2.611329971012732,-2.672972306084232,-2.53813269337373,-2.448313585182329,-2.568598104775908
111,9.29138888888889,-1.6718317195732686,-1.7003240375534152,-1.6144822089452957,-1.5438675007052352,-1.610890532889515,9.291666666666666,-2.105573950902013,-2.109188116074748,-2.030805908668075,-2.1609202831089016,9.291666666666666,-2.663629632313324,-2.727705072022535,-2.589539295448956,-2.497619035633928,-2.6207005057696136
112,9.37472222222222,-1.7088270153786742,-1.7327738573871612,-1.6388844528322153,-1.584295261005523,-1.6425022074325986,9.375,-2.149822612714191,-2.1528202329325885,-2.0642479048019675,-2.201623865752641,9.375,-2.708462670500057,-2.7896442160773267,-2.6514855765646903,-2.5502642345521966,-2.667931553114597
113,9.458055555555555,-1.7464879964198838,-1.7674589389687054,-1.6731442709199649,-1.6221666707559084,-1.6735878142474043,9.458333333333332,-2.18893575739081,-2.193331773912893,-2.1024360918311915,-2.243609565844353,9.458333333333332,-2.751030792688784,-2.8473922375856078,-2.704172997125873,-2.599050925820056,-2.7180929710081294
114,9.54138888888889,-1.7918145985266745,-1.80317926818356,-1.705261863291721,-1.655481871120316,-1.7063471511860049,9.541666666666666,-2.232713318627038,-2.2347224208642213,-2.1355695585017047,-2.27527711297843,9.541666666666666,-2.799335701932803,-2.901351630107648,-2.7608030142785926,-2.6401808491862333,-2.7619864794707967
115,9.62472222222222,-1.830806758299933,-1.837534831816432,-1.7246374297932914,-1.6890410034800718,-1.741180017208225,9.625,-2.274155231117465,-2.2725918571778028,-2.169047396925455,-2.314626238145938,9.625,-2.837979097222864,-2.9509248814269973,-2.8067770819100875,-2.6776557402652728,-2.8048137943465057
116,9.708055555555555,-1.8598644131116508,-1.8739256175512196,-1.7494711700331165,-1.7264442094339023,-1.7716862123816446,9.708333333333332,-2.3148614305561,-2.3051397677875336,-2.2034687025803823,-2.346656673734614,9.708333333333332,-2.875762673487165,-2.9917144735504757,-2.852896650648744,-2.7208773305375304,-2.845376627302479
117,9.79138888888889,-1.8895875011049248,-1.901151613971013,-1.7867632833822693,-1.7546916307979328,-1.8006655378815963,9.791666666666666,-2.3534318536363705,-2.344165839169976,-2.236432574310414,-2.3807681535288707,9.791666666666666,-2.914288121591356,-3.042722882708179,-2.892963167864093,-2.7628473473491737,-2.8908766858292623
118,9.8775,-1.9161759611939595,-1.9250128105580944,-1.8117139689744544,-1.7907834096056892,-1.824917795991164,9.875,-2.3952664380511246,-2.3716697593443588,-2.2681381143254664,-2.4143604127097915,9.875,-2.941357128338532,-3.079752579353478,-2.934978077666816,-2.794767513912184,-2.9241156732407148
119,9.960833333333332,-1.9484297330640636,-1.95150919769394,-1.8427234257060088,-1.821719688108097,-1.8504427901011864,9.96111111111111,-2.422565122492631,-2.4094512178725798,-2.292784428201449,-2.444833187855133,9.95861111111111,-2.977971376469239,-3.1170060281630168,-2.968942820908744,-2.827439549304356,-2.9382952886740163
120,10.044166666666666,-1.9671487571716533,-1.979040766659216,-1.8697918522359032,-1.8525006087734832,-1.8704403247102557,10.044444444444444,-2.454927846652576,-2.4379099058592004,-2.3213706248802586,-2.475386216939325,10.044444444444444,-3.020332544661476,-3.1496856880367137,-3.006058835182854,-2.859265168469295,-2.967217227089666
121,10.1275,-1.997932974744251,-1.9996075096337824,-1.8827194469857376,-1.884926314287573,-1.8941102054247156,10.127777777777778,-2.4919545512220687,-2.466845515951455,-2.3402958166697827,-2.498619239333472,10.127777777777778,-3.047442307530684,-3.182794012097764,-3.041727554823272,-2.894246082216423,-2.9916831792714795
122,10.210833333333332,-2.024982327780484,-2.023009419696692,-1.8971064081397448,-1.9053969475534929,-1.915252238958664,10.21111111111111,-2.5232451778916354,-2.49225774233924,-2.3575591192439016,-2.5175319958053484,10.21111111111111,-3.0723023356297583,-3.2153334476926325,-3.066150410905271,-2.9237839972209696,-3.013294831826592
123,10.294166666666666,-2.054096759050087,-2.0444464908261875,-1.916152933644792,-1.927112651691768,-1.9274662331339512,10.294444444444444,-2.5427996693512225,-2.51814628075512,-2.369159651642481,-2.5433242285194035,10.294444444444444,-3.0963142954490417,-3.247306436391064,-3.098328831245273,-2.943680616023981,-3.033253867185457
124,10.3775,-2.074676212093901,-2.059718717899706,-1.9356592212103745,-1.9582735700403244,-1.9463519968801812,10.377777777777778,-2.561417969290198,-2.535110828474326,-2.3858965362713773,-2.5691956810367587,10.377777777777778,-3.128079849416327,-3.2821154139860744,-3.127464240400848,-2.969137637032316,-3.054961963601847
125,10.460833333333332,-2.0881206312238705,-2.078026096693876,-1.9534254683086232,-1.985479846154488,-1.966709340234712,10.46111111111111,-2.5775000223973468,-2.5541510843147592,-2.400968898902441,-2.58794609831521,10.46111111111111,-3.147400655896856,-3.3125628104939544,-3.157358059670713,-2.9951567545186424,-3.0746207951528515
