,Time[h],6803_WT_rep1,6803_deltaKaiA3_rep2,6803_deltaKaiB3_rep3,6803_deltaKaiC3_rep4,6803_deltaKaiA3B3_rep5,6803_deltaKaiB3C3_rep1,6803_deltaKaiA1B1C1_rep2,6803_WT_rep2,6803_deltaKaiA3_rep3,6803_deltaKaiB3_rep4,6803_deltaKaiC3_rep5,6803_deltaKaiA3C3_rep1,6803_deltaKaiB3C3_rep2,6803_deltaKaiA1B1C1_rep3,6803_WT_rep3,6803_deltaKaiA3_rep4,6803_deltaKaiB3_rep5,6803_deltaKaiA3B3_rep1,6803_deltaKaiA3C3_rep2,6803_deltaKaiB3C3_rep3,6803_deltaKaiA1B1C1_rep4,6803_Wilde_WT_rep1,6803_WT_rep4,6803_deltaKaiA3_rep5,6803_deltaKaiC3_rep1,6803_deltaKaiA3B3_rep2,6803_deltaKaiA3C3_rep3,6803_deltaKaiB3C3_rep4,6803_deltaKaiA1B1C1_rep5,6803_Wilde_WT_rep2,6803_WT_rep5,6803_deltaKaiB3_rep1,6803_deltaKaiC3_rep2,6803_deltaKaiA3B3_rep3,6803_deltaKaiA3C3_rep4,6803_deltaKaiB3C3_rep5,6803_Wilde_WT_rep3,6803_deltaKaiA3_rep1,6803_deltaKaiB3_rep2,6803_deltaKaiC3_rep3,6803_deltaKaiA3B3_rep4,6803_deltaKaiA3C3_rep5,6803_deltaKaiA1B1C1_rep1,6803_Wilde_WT_rep4
47,3.9388888888888887,178.14234324622672,160.42712431013516,169.18971189308851,162.17282619322103,170.47059138968942,170.6410654218673,184.56821716474332,209.81910340218863,151.39554537857538,167.73014267032698,160.71421531170597,164.5975251996281,164.291561391975,178.59648952643064,173.4985126372528,151.4870071349243,163.31142568782,162.68829353478768,169.16913280476587,172.66434270853392,180.8862854254007,223.63717710956863,165.10953251506547,151.37666921235513,163.97758508353837,163.35026001950607,166.59450101232366,163.38040383065393,181.03880988106866,172.91833732212035,165.80601985356253,195.19232862549782,172.7288626171939,168.4300950646408,171.4453255869899,173.33119450739582,161.671471705762,163.98448301085645,156.92738855172348,170.57264430039814,178.49609078185728,197.32238763414688,190.56020438248072,339.80241818778126
48,4.022222222222222,178.19910413710886,160.5939069374961,169.30376683039148,162.32432534659674,170.6355379219642,170.7880227570161,184.6671691412295,209.86999370311793,151.55520316490563,167.83618972616412,160.86496981590528,164.77446098742752,164.43435901547966,178.68388725291283,173.55884880276943,151.6478729725337,163.41863825147507,162.85110055894526,169.30176160510484,172.79990033668707,180.969781422682,223.1747112967897,165.1647359584298,151.5380844872076,164.1234049576236,163.51745085450577,166.73857299880476,163.52639652458365,181.1168690156723,174.95878623622133,165.86686217114467,195.28183011350302,172.88960439247705,168.60255447325628,171.58579050719734,173.4783194142259,162.55887781456371,164.11107866728955,157.0502078218781,170.716084377369,178.6471928384012,197.46305908468437,190.65685464834758,342.3391568592099
49,4.105833333333333,178.2566966783054,160.76047827545304,169.41787969456382,162.4756474824512,170.8002049910246,170.93478964000778,184.7667575642292,209.92172392346308,151.71465865958154,167.94238148482032,161.01553735092105,164.95102365367902,164.57698437765512,178.7719419687687,173.6201733140358,151.80854770731233,163.52599982794268,163.01368848729078,169.43430887888647,172.93539092527067,181.05391579601744,222.7256536050835,165.22081868105315,151.69930612029958,164.26904387524314,163.68449433946466,166.88250702410596,163.67214277242795,181.19564802498007,176.97920086581914,165.92852924095203,195.37164811270395,173.04998547562593,168.77466674824885,171.72611815429076,173.62519832168937,163.45084728192484,164.23771643505228,157.17293429646267,170.85936673061516,178.79817173189508,197.60357427711386,190.75402028179434,344.8604460303409
50,4.191666666666666,178.31511740275357,160.92684022094423,169.53205189239702,162.626794603054,170.96459525220004,171.08136813933518,184.86698009553223,209.97429055404768,151.87391374717444,168.04871857029102,161.16591990199316,165.127216481509,164.71943937584388,178.860651310748,173.68248184218155,151.96903307960378,163.63351100064995,163.176059291888,169.5667761570424,173.07081617312886,181.13868626362245,222.28993408455202,165.27777692746088,151.86033590623205,164.41450379742224,163.85139253146173,167.02630499174242,163.81764527372525,181.27514431701198,178.9796835051102,165.99101756787812,195.46178257626121,173.21000872702288,168.9464345254389,171.866310372198,173.7718334336118,164.34733690924108,164.36439729239635,157.29556971511005,171.00249302421992,178.9490287525652,197.74393506253287,190.85170022199753,347.3663399481803
51,4.275,178.37436285157054,161.0929946672628,169.6462848271814,162.77776870654063,171.1287113550918,171.22776031921435,184.96783440136053,210.02769009387077,152.03297030855424,168.15520160504178,161.31611945018477,165.3030427460938,164.86172590344214,178.9500129200209,173.74577006760728,152.1293308263336,163.74117235152926,163.33821494083082,169.69916496719375,173.20617777479532,181.22409054816097,221.86748294895435,165.33560695094232,152.02117563606743,164.55978668112365,164.0181474820521,167.1699688011292,163.9629067219195,181.35535530468482,180.9603362633264,166.05432366506682,195.55223345670046,173.36967700127354,169.11786043539865,172.0063690009086,173.91822694946282,165.24830360896388,164.4911222150905,157.4181158137239,171.14546491900754,179.09976518848762,197.88414328819982,190.94989340904849,349.85689277673686
52,4.358333333333333,178.43442957405313,161.2589435040567,169.76057989870588,162.92857178691233,171.29255594357303,171.37396823958446,185.06931815236828,210.08191905010645,152.19183022088956,168.26183121000847,161.46613797238246,165.47850571465978,165.00384584989962,179.04002444217784,173.81003367998483,152.28944268100915,163.84898446101812,163.50015739824318,169.83147683365112,173.3414774204933,181.3101263767455,221.45823057570655,165.39430501355088,152.1818270973294,164.70489447924754,164.18476123726725,167.3135003475811,164.1079298043602,181.43627840581226,182.92126106473535,166.1184440539122,195.6430007059123,173.52899314720685,169.2889471034523,172.1462958764737,174.0643810643564,166.15370440460043,164.61789217642072,157.54057432447848,171.28828407254352,179.25038232558828,198.02420079753418,191.04859878395334,352.33215859702176
53,4.441666666666666,178.49531412767794,161.42468861732885,169.87493850325816,163.07920583403612,171.45613165578877,171.5199939561079,185.17142902364168,210.1369739381042,152.35049535764756,168.36860800459704,161.61597744129597,165.65360864648315,165.14580110071972,179.13068352722968,173.875268378257,152.44937037371986,163.95694790805928,163.66188862427904,169.96371327741454,173.4767167961356,181.39679148093708,221.06210750588173,165.45386738610387,152.342292074003,164.84982914063153,164.3512358376149,167.45690152231293,164.2527172023025,181.51791104310465,184.86255964864017,166.18337526405878,195.73408427515238,173.68796000787492,169.45969714967575,172.28609283100613,174.21029796905066,167.06349643071363,164.74470814718995,157.66294697581895,171.43095213913452,179.40088144764283,198.16410943011627,191.14781528863296,354.7921914070489
54,4.525,178.55701307810128,161.59023188943698,169.98936203362453,163.2296728336449,171.6194411241559,171.66583952017018,185.27416469469915,210.1928512813887,152.50896758859412,168.4755326066837,161.76563982545846,165.8283547928902,165.28759353745946,179.22198782960754,173.9414698706378,152.60911563113697,164.0650632701007,163.82341057512255,170.09587581617362,173.61189758332452,181.48408359674525,220.67904444421,165.51429034818267,152.50257234653463,164.9945926100507,164.51757331807903,167.6001742124392,164.39727159090705,181.60025064416922,186.78433356937964,166.24911383340114,195.8254841150413,173.8465804205532,169.6301131888968,172.4257616926804,174.35597984994794,167.97763693292214,164.8715710957182,157.78523549246106,171.57347076982828,179.5512638362768,198.30387102168737,191.24754186592298,357.23704512183497
55,4.608333333333333,178.61952299915933,161.75557519909373,170.10385187909006,163.37997476733736,171.78248697536327,171.81150697888006,185.37752284949124,210.2495476116599,152.66724877979377,168.58260563261481,161.91512708922642,166.00274739725714,165.42922503772942,179.31393500816296,174.00863387461231,152.76868017651367,164.17333112309544,163.9847252029878,170.22796596430732,173.74702145935194,181.57200046462808,220.30897225907847,165.57557018813267,152.662669691832,165.13918682821753,164.68377570811992,167.74332030097446,164.54159563924014,181.68329464150995,188.68668419632814,166.31565630808436,195.91720017556463,174.00485721674048,169.80019783069503,172.56530428573265,174.50142888909483,168.89608326790034,164.9984819878427,157.9074415953914,171.71584161241373,179.70153077096552,198.44348740414978,191.34777745957385,359.66677357339904
56,4.691666666666666,178.68284047286787,161.9207204213666,170.2184094254385,163.53011361257796,171.94527183037152,171.95699837506936,185.48150117640063,210.30705946879303,152.82534079360963,168.68982769720702,162.06444119277958,166.1767896950101,165.57069747519384,179.40652272616776,174.07675611693665,152.92806572968504,164.28175204150185,164.14583445611902,170.35998523288416,173.8820900971992,181.66053982949222,219.95182198253133,165.63770320306327,152.82258588326417,165.28361373178205,164.8498450316741,167.88634166683298,164.68569201027358,181.76704047252755,190.56971271389568,166.38299924250364,196.00923240607307,174.16279322215865,169.969953679402,172.70472243046066,174.64664726418204,169.81879290337835,165.12544178691766,158.02956700186718,171.85806631142097,179.8516835290341,198.58296040556658,191.44852101425073,362.08143051076297
