,E007_Time[h],E007_6803_deltaKaiB3C3_rep1,E007_6803_deltaKaiB3C3_rep2,E007_6803_deltaKaiB3C3_rep3,E007_6803_deltaKaiB3C3_rep4,E007_6803_deltaKaiB3C3_rep5,E008_Time[h],E008_6803_deltaKaiB3C3_rep1,E008_6803_deltaKaiB3C3_rep2,E008_6803_deltaKaiB3C3_rep3,E008_6803_deltaKaiB3C3_rep4,E011_Time[h],E011_6803_deltaKaiB3C3_rep1,E011_6803_deltaKaiB3C3_rep2,E011_6803_deltaKaiB3C3_rep3,E011_6803_deltaKaiB3C3_rep4,E011_6803_deltaKaiB3C3_rep5
120,10.044166666666666,-1.989750119044734,-1.9207299199405656,-1.9670557931431936,-2.0013817762352426,-1.9701514757950005,10.044444444444444,-2.2543547813573417,-2.255150866851775,-2.1812254831288147,-1.924485931408734,10.044444444444444,-2.2231405649645497,-2.8544386057796824,-2.6421479407881354,-2.9563108974527395,-2.897209311561551
121,10.1275,-2.016425855839648,-1.947608674143774,-1.9861551378926647,-2.0120458319163204,-1.9920319534975603,10.127777777777778,-2.2755710092684662,-2.280353020361772,-2.210908027272347,-1.9381335523175005,10.127777777777778,-2.262574436995409,-2.8729927672811986,-2.670730646923619,-2.9794976273287936,-2.923343042381936
122,10.210833333333332,-2.0362948299562285,-1.9736317394807457,-2.00364269606257,-2.0195323496102384,-2.0125314713939764,10.21111111111111,-2.293669324760923,-2.300839513753309,-2.232469905378252,-1.9495090962111443,10.21111111111111,-2.2839562922663297,-2.8951015853369872,-2.6895578586952995,-2.996817197081781,-2.955978807982299
123,10.294166666666666,-2.0567573650478286,-1.9981985707314516,-2.020118772992303,-2.033242057135719,-2.0316501119113566,10.294444444444444,-2.310849502627676,-2.322410048378962,-2.252710867628042,-1.9512109645957083,10.294444444444444,-2.2902878891999565,-2.915766671176772,-2.7052309624391104,-3.019871864404258,-2.974918496393576
124,10.3775,-2.0778137848655653,-2.019108624253981,-2.0343836740642693,-2.033775680619737,-2.042787958031699,10.377777777777778,-2.3191113190822943,-2.33866432727942,-2.272230665568589,-1.9608375629867505,10.377777777777778,-2.3135709819421058,-2.9295896320838923,-2.721751340180526,-3.034663880894352,-3.0043639912909152
125,10.460833333333332,-2.0938644132583217,-2.040361357984549,-2.0498377047038834,-2.051133944497511,-2.061945093291892,10.46111111111111,-2.338454551758957,-2.352002055183486,-2.281229052112129,-1.9733873009093423,10.46111111111111,-2.3276073203617638,-2.950972071395305,-2.7379203696345638,-3.041595492055766,-3.020317171993681
126,10.544166666666666,-2.111309574172746,-2.069556231437489,-2.067481170379568,-2.059917571512513,-2.0721216017837167,10.544444444444444,-2.35107897971245,-2.366422938508077,-2.291705781536253,-1.983058591898076,10.544444444444444,-2.3403986500510845,-2.9721155885015813,-2.756539424205781,-3.0560689372977783,-3.031779913465447
127,10.6275,-2.121549591653252,-2.0874927057052552,-2.076914376602756,-2.06712728271646,-2.0819175681538447,10.627777777777778,-2.363784383418164,-2.376126685358225,-2.295460609483919,-1.992049853497054,10.627777777777778,-2.3545467123253925,-2.9822217788469105,-2.76300987298828,-3.0660864499352427,-3.045954086314001
128,10.71361111111111,-2.1389847898420147,-2.106770243458424,-2.084337628927889,-2.07516379746932,-2.0903330776038382,10.71111111111111,-2.372970544772098,-2.389913005527072,-2.298893292963444,-2.003959507259897,10.71111111111111,-2.3696532442231835,-2.998692233929099,-2.7715330807657037,-3.068450257188585,-3.0566415567913445
129,10.796944444444444,-2.1502154929789787,-2.127188308945696,-2.093151232952419,-2.083427833439305,-2.093368215890151,10.797222222222222,-2.378837247090859,-2.3951816104958787,-2.303803590348505,-2.0041859787497405,10.79472222222222,-2.37351997850612,-3.010728541299568,-2.774910408011233,-3.07676258018381,-3.061644186793692
130,10.880277777777778,-2.1546420254018512,-2.1413463679938896,-2.1011554943168047,-2.0907201066028844,-2.095623069324129,10.880555555555556,-2.3759842751116604,-2.401932213434017,-2.306391261378141,-2.010127697539235,10.880555555555556,-2.380548643659034,-3.018332284563355,-2.7803432108875983,-3.0830256339524924,-3.0739638338614705
131,10.96361111111111,-2.158064711546106,-2.159443888007945,-2.1053507187045186,-2.0850413312447675,-2.095497724772006,10.963888888888889,-2.381811414992322,-2.404964529198975,-2.3040560671567536,-2.006183097210548,10.963888888888889,-2.3935409638899303,-3.020305043379115,-2.777632841247065,-3.082841627431788,-3.0772023511793205
132,11.046944444444444,-2.164683875944981,-2.174680337970924,-2.1165372118420382,-2.085592219957916,-2.1009922696549106,11.047222222222222,-2.380118454311272,-2.410278274336349,-2.3069977701541027,-2.008150615355361,11.047222222222222,-2.3954986591299785,-3.02304839345912,-2.7795806466314423,-3.0808127634644205,-3.080161587576094
