,E007_Time[h],E007_6803_deltaKaiA3C3_rep1,E007_6803_deltaKaiA3C3_rep2,E007_6803_deltaKaiA3C3_rep3,E007_6803_deltaKaiA3C3_rep4,E007_6803_deltaKaiA3C3_rep5,E008_Time[h],E008_6803_deltaKaiA3C3_rep1,E008_6803_deltaKaiA3C3_rep2,E008_6803_deltaKaiA3C3_rep3,E008_6803_deltaKaiA3C3_rep4,E011_Time[h],E011_6803_deltaKaiA3C3_rep1,E011_6803_deltaKaiA3C3_rep2,E011_6803_deltaKaiA3C3_rep3,E011_6803_deltaKaiA3C3_rep4,E011_6803_deltaKaiA3C3_rep5
114,9.54138888888889,-2.1275221899050885,-2.124334893340961,-2.014890816124768,-2.112581108591223,-1.979667981328692,9.541666666666666,-2.1287365827986315,-2.145691729902331,-2.056444647101433,-1.825573048723143,9.541666666666666,-3.878929446261545,-2.929030771200792,-3.077010917140413,-3.0234955989844376,-3.0006487316715824
115,9.62472222222222,-2.1531026520722127,-2.161257572596605,-2.0581480766478624,-2.1444523101087416,-2.009904947597978,9.625,-2.160523441108178,-2.1836462497883007,-2.093247245642188,-1.8654319191932829,9.625,-3.9529182697630114,-2.971754050275772,-3.113632356934868,-3.0628284300375577,-3.048147278216521
116,9.708055555555555,-2.1891300238250238,-2.193986328045772,-2.096023081716798,-2.1757847707847446,-2.056510056940044,9.708333333333332,-2.1904710602051978,-2.222182740246695,-2.1340550852208517,-1.8734468203921373,9.708333333333332,-4.009534157636019,-3.00549005514061,-3.150833062794546,-3.1029376218804194,-3.093403903907838
117,9.79138888888889,-2.22000429410609,-2.2279213675398792,-2.127114772167285,-2.2079784425674944,-2.0936824550302213,9.791666666666666,-2.228780176166082,-2.257501782542821,-2.166668530062956,-1.9110176430766328,9.791666666666666,-4.072779864329466,-3.03604009657737,-3.1944146655755,-3.1416247565410726,-3.1408202045456783
118,9.8775,-2.2439254526618457,-2.253662899190823,-2.1634220918098936,-2.235033278212621,-2.152621290000813,9.875,-2.2670515238347204,-2.296603957147968,-2.2068879441614584,-1.9137442781270075,9.875,-4.131058136342214,-3.0690054820575967,-3.2205787920336446,-3.1792914121092206,-3.180597772091133
119,9.960833333333332,-2.2666934900425884,-2.2826111313709765,-2.1953439874300567,-2.254749231283123,-2.2055257124410894,9.96111111111111,-2.2940858368225023,-2.3320898437394,-2.2325136912767425,-1.92342661654681,9.95861111111111,-4.191371712223085,-3.091587515742316,-3.248327064824761,-3.2129391627362254,-3.215938194666231
120,10.044166666666666,-2.290108397602478,-2.3083662727131884,-2.2252794087880674,-2.2789262561493624,-2.229194875397289,10.044444444444444,-2.320483847508318,-2.363560021200361,-2.265346134936617,-1.9452645494629,10.044444444444444,-4.239123322570865,-3.118187498482033,-3.270661102504489,-3.2329695786351067,-3.2438430565539456
121,10.1275,-2.3167701674995387,-2.3325285321107856,-2.24782730861908,-2.31016430798907,-2.2656279343726187,10.127777777777778,-2.3452462870385555,-2.391015067620073,-2.293185638436318,-1.9684579681254488,10.127777777777778,-4.292115690034303,-3.146006727816732,-3.2895825195283352,-3.25878422608054,-3.2777139381981915
122,10.210833333333332,-2.3398787926956595,-2.357098118717575,-2.280586642633109,-2.327863342787344,-2.3046240473272546,10.21111111111111,-2.361973885327103,-2.415855560293738,-2.323032564838506,-1.9668067639079387,10.21111111111111,-4.347351529312107,-3.17904649797588,-3.308292926251668,-3.281984667408859,-3.305152416203824
123,10.294166666666666,-2.361234266956592,-2.379475241947837,-2.308756369515031,-2.345823317336647,-2.314582374678343,10.294444444444444,-2.3722673710553512,-2.440082075722533,-2.338287276973269,-1.973110828307164,10.294444444444444,-4.396233547152953,-3.2003080998784217,-3.3291939289297208,-3.306572461018053,-3.3347600633366405
