,Time(h),6803_WT_rep1,6803_WT_rep2,6803_WT_rep3,6803_WT_rep4,6803_WT_rep5,6803_WT_mean,6803_WT_sd,6803_WT_reg,6803_WT_signal,6803_WT_smoothed,6803_deltaKaiA3_rep2,6803_deltaKaiA3_rep3,6803_deltaKaiA3_rep4,6803_deltaKaiA3_rep5,6803_deltaKaiA3_rep1,6803_deltaKaiA3_mean,6803_deltaKaiA3_sd,6803_deltaKaiA3_reg,6803_deltaKaiA3_signal,6803_deltaKaiA3_smoothed,6803_deltaKaiB3_rep3,6803_deltaKaiB3_rep4,6803_deltaKaiB3_rep5,6803_deltaKaiB3_rep1,6803_deltaKaiB3_rep2,6803_deltaKaiB3_mean,6803_deltaKaiB3_sd,6803_deltaKaiB3_reg,6803_deltaKaiB3_signal,6803_deltaKaiB3_smoothed,6803_deltaKaiC3_rep4,6803_deltaKaiC3_rep5,6803_deltaKaiC3_rep1,6803_deltaKaiC3_rep2,6803_deltaKaiC3_rep3,6803_deltaKaiC3_mean,6803_deltaKaiC3_sd,6803_deltaKaiC3_reg,6803_deltaKaiC3_signal,6803_deltaKaiC3_smoothed,6803_deltaKaiA3B3_rep5,6803_deltaKaiA3B3_rep1,6803_deltaKaiA3B3_rep2,6803_deltaKaiA3B3_rep3,6803_deltaKaiA3B3_rep4,6803_deltaKaiA3B3_mean,6803_deltaKaiA3B3_sd,6803_deltaKaiA3B3_reg,6803_deltaKaiA3B3_signal,6803_deltaKaiA3B3_smoothed,6803_deltaKaiB3C3_rep1,6803_deltaKaiB3C3_rep2,6803_deltaKaiB3C3_rep3,6803_deltaKaiB3C3_rep4,6803_deltaKaiB3C3_rep5,6803_deltaKaiB3C3_mean,6803_deltaKaiB3C3_sd,6803_deltaKaiB3C3_reg,6803_deltaKaiB3C3_signal,6803_deltaKaiB3C3_smoothed,6803_deltaKaiA3B3C3_rep2,6803_deltaKaiA3B3C3_rep3,6803_deltaKaiA3B3C3_rep4,6803_deltaKaiA3B3C3_rep5,6803_deltaKaiA3B3C3_rep1,6803_deltaKaiA3B3C3_mean,6803_deltaKaiA3B3C3_sd,6803_deltaKaiA3B3C3_reg,6803_deltaKaiA3B3C3_signal,6803_deltaKaiA3B3C3_smoothed,6803_deltaKaiA1B1C1_rep3,6803_deltaKaiA1B1C1_rep4,6803_deltaKaiA1B1C1_rep1,6803_deltaKaiA1B1C1_rep2,6803_deltaKaiA1B1C1_mean,6803_deltaKaiA1B1C1_sd,6803_deltaKaiA1B1C1_reg,6803_deltaKaiA1B1C1_signal,6803_deltaKaiA1B1C1_smoothed,6803_deltaKaiA3C3_rep1,6803_deltaKaiA3C3_rep2,6803_deltaKaiA3C3_rep3,6803_deltaKaiA3C3_rep4,6803_deltaKaiA3C3_rep5,6803_deltaKaiA3C3_mean,6803_deltaKaiA3C3_sd,6803_deltaKaiA3C3_reg,6803_deltaKaiA3C3_signal,6803_deltaKaiA3C3_smoothed
869,72.66916666666667,303.92,300.94,290.33,290.44,285.41,294.208,7.01832287658526,294.7303777544689,-0.5223777544688906,-0.6312994500374947,290.08,275.54,274.63,273.15,276.66,278.01200000000006,6.142512189650089,277.5819922892847,0.4300077107153462,0.4310828423092466,308.67,279.16,285.35,279.93,271.0,284.822,12.775315886505512,284.2971068337083,0.5248931662916735,0.5845113187470307,298.28,279.57,285.88,288.68,283.96,287.274,6.251181008417524,286.6941528255844,0.5798471744156123,0.6493641880694404,312.29,286.52,299.6,297.5,300.23,299.22799999999995,8.200457060432681,298.6917056902932,0.5362943097067863,0.7207315163137089,302.38,319.42,274.2,291.12,281.05,293.63399999999996,16.0235321948689,293.0290070205041,0.6049929794958904,0.3489899618491369,281.9,283.2,284.19,268.54,273.86,278.338,6.109436635238951,277.9587723340708,0.37922766592925944,0.3711908807355184,303.73,282.18,291.08,283.68,290.1675,8.524404304700713,290.0271999680233,0.1403000319767033,0.2572627671491008,276.85,277.73,286.87,284.22,295.36,284.206,6.746230354798148,283.5570833883012,0.648916611698834,0.6126687281870812
870,72.7525,304.21,301.16,290.72,290.92,285.53,294.508,7.01719431111894,294.9501383973226,-0.44213839732259336,-0.5684993800451088,290.55,275.56,274.68,273.78,277.16,278.346,6.2031269534002025,277.76900148773404,0.5769985122659469,0.43237858014633657,309.34,279.35,285.77,280.55,271.26,285.254,12.909055116467655,284.5048096204156,0.7491903795844169,0.5873380185473169,298.47,279.57,286.14,288.79,283.88,287.37,6.320749955503712,286.9008651217631,0.4691348782369224,0.6371345284836812,313.42,286.45,300.27,298.44,300.15,299.746,8.554593152219464,298.89183653870464,0.8541634612953679,0.7095524994421716,302.86,318.17,274.51,290.33,281.17,293.408,15.613289723821824,293.23166220591895,0.17633779408107889,0.3485170158047486,282.76,283.16,284.22,268.71,273.86,278.54200000000003,6.163545732774289,278.1539014075917,0.38809859240832173,0.36614314342388193,303.92,282.39,291.05,283.69,290.2625,8.54870567688467,290.1977173433533,0.06478265664666642,0.25328729247287946,277.63,277.75,287.28,284.74,295.27,284.534,6.580767736366321,283.75447985015603,0.7795201498439578,0.6011468920265681
871,72.83583333333333,304.57,301.6,291.23,290.99,286.04,294.886,7.009344049196039,295.17038357664865,-0.2843835766486213,-0.5034329873760603,290.69,275.87,275.16,273.97,277.2,278.57800000000003,6.1457152553628696,277.9562339979559,0.6217660020441136,0.4351513048229172,309.75,279.52,285.9,280.87,271.3,285.46799999999996,13.015795634535753,284.7127186439114,0.7552813560885571,0.5918586204277236,298.82,280.1,286.44,288.95,284.89,287.84000000000003,6.2026220262079415,287.10780027612896,0.7321997238710983,0.6435821890345258,313.37,286.89,298.95,297.8,301.13,299.628,8.451703733567575,299.0920949329286,0.5359050670714076,0.7099459995977945,302.87,319.69,274.4,290.22,281.28,293.69199999999995,16.11474777959619,293.43451749749954,0.2574825025004235,0.3451440888206539,282.61,283.31,284.6,269.02,274.44,278.796,6.05234037377279,278.3492761817799,0.4467238182201169,0.36569993914852555,304.21,282.75,291.3,284.22,290.62,8.485979613456525,290.3683089923634,0.25169100763660474,0.25380000917805623,277.67,278.28,287.17,285.01,295.31,284.688,6.471563644128059,283.9521258529857,0.7358741470142686,0.5935257923315316
872,72.91916666666667,304.53,301.97,291.71,291.18,286.13,295.104,6.977694748267511,295.3911160134253,-0.28711601342530363,-0.44295298926706206,290.73,276.18,275.55,274.14,277.33,278.78599999999994,6.060153793428026,278.1436906693271,0.6423093306728325,0.43400016790308404,310.14,279.84,285.91,281.27,271.7,285.77200000000005,13.017651708353547,284.92083425775706,0.8511657422429667,0.5949227711097836,299.08,280.2,286.47,289.5,284.51,287.952,6.330337747703512,287.3149587192461,0.6370412807539415,0.640156739433599,314.32,286.98,300.39,298.41,299.95,300.01,8.686368631367186,299.29248105178795,0.7175189482120707,0.7164618381561176,303.28,319.12,274.84,291.66,281.6,294.1,15.76974318116817,293.63757316129625,0.462426838703792,0.3368209149045759,283.08,283.68,284.87,269.08,275.02,279.146,6.117939522420935,278.5448972779677,0.6011027220323042,0.35881064715124167,304.57,282.94,291.8,284.53,290.96,8.538193602864721,290.53897484393804,0.42102515606192575,0.2524884883755393,277.83,278.78,287.24,284.98,296.51,285.068,6.746440246530023,284.15002214740554,0.9179778525944439,0.5761546792169722
873,73.0025,304.97,302.06,291.66,291.82,286.62,295.42600000000004,6.925742126299539,295.6123384361131,-0.18633843611303197,-0.3805621104375097,290.91,276.33,275.65,273.72,277.71,278.86400000000003,6.158725842250175,278.33137235310596,0.5326276468940583,0.43872431906919107,309.8,280.13,286.11,281.14,271.49,285.73400000000004,12.920641779725962,285.1291568160799,0.6048431839201217,0.5985801167491803,299.05,280.48,286.66,290.08,287.55,288.764,6.034217762063277,287.5223408822305,1.2416591177695515,0.6475077488409076,315.35,287.17,301.01,299.59,300.8,300.784,8.932931433745592,299.49299507450195,1.2910049254980684,0.7089998360960883,303.5,320.85,274.87,292.06,281.99,294.654,16.26649636522875,293.840829463476,0.8131705365240269,0.332547227947831,283.15,283.8,284.99,269.38,274.84,279.232,6.094644862500199,278.7407653186366,0.4912346813634469,0.36367464552512685,304.47,283.08,292.1,284.25,290.975,8.528442120340634,290.70971482695245,0.2652851730475549,0.24872780118547147,277.67,278.57,287.73,285.2,296.25,285.084,6.768957379094656,284.34816948549155,0.7358305145084468,0.5766828013371748
874,73.08583333333333,305.38,302.22,292.04,291.91,286.8,295.67,6.973922855896811,295.8340535806557,-0.1640535806556604,-0.3160630830894794,291.23,276.75,275.77,274.36,277.38,279.09800000000007,6.151004470816136,278.51927990243297,0.5787200975670876,0.44637290612185926,310.7,280.05,285.94,281.4,271.87,285.992,13.162922775736394,285.33768667357293,0.6543133264270696,0.605180302935739,299.73,280.53,287.24,289.98,284.8,288.456,6.435714723323289,287.7299471967494,0.7260528032506605,0.6469347858648468,314.95,287.94,300.48,297.66,301.6,300.526,8.66981799116913,299.6936371806866,0.8323628193134276,0.7091098140000618,303.74,319.5,274.99,291.57,281.79,294.318,15.880686886907629,294.04428667032215,0.2737133296778471,0.33452276172532913,283.55,284.02,285.33,269.44,275.08,279.484,6.1896772129086015,278.9368809274163,0.5471190725836648,0.3648913112145704,304.89,283.31,292.34,284.97,291.3775,8.509622127333257,290.88052887027254,0.49697112972743746,0.24783051873724582,278.36,278.92,286.92,285.28,296.36,285.168,6.538031508030532,284.54656862078053,0.6214313792194698,0.5867094058857203
875,73.16916666666667,305.63,302.54,292.29,291.95,286.8,295.842,7.073758265589798,296.05626419047894,-0.21426419047895612,-0.2475086469077359,291.19,276.94,275.66,274.22,277.63,279.128,6.142290777877575,278.70741417232995,0.4205858276700261,0.450845074979967,311.05,280.18,286.08,281.48,271.88,286.134,13.274760412150576,285.54642418549514,0.5875758145048567,0.6094729746934407,299.88,280.88,287.01,289.87,284.93,288.514,6.3938989669840725,287.9377780950219,0.5762219049781484,0.6638374185621919,314.65,287.4,300.4,298.63,300.83,300.38199999999995,8.664625554517631,299.8944075503544,0.48759244964557164,0.7092415920538038,303.62,319.67,274.9,292.4,282.05,294.52799999999996,15.87622045702315,294.2479450482344,0.2800549517655928,0.33584724989557535,283.51,283.97,285.55,269.68,275.03,279.548,6.149232147187166,279.1332447290856,0.4147552709143935,0.37236002001527146,305.0,283.36,291.83,284.81,291.25,8.560440993313366,291.05141690275525,0.19858309724473192,0.2462967121694947,278.34,279.27,287.71,285.18,296.51,285.402,6.576276758166436,284.74522030827,0.656779691729977,0.5889337385954829
876,73.2525,305.89,302.71,292.38,292.36,286.92,296.052,7.093984493921581,296.27897301649176,-0.22697301649173957,-0.1802515490597278,291.5,276.53,275.83,274.71,277.76,279.26599999999996,6.196575183115273,278.89577601970063,0.37022398029931686,0.4531899696806582,311.35,280.79,286.86,281.75,272.52,286.654,13.176801736385059,285.7553697076713,0.898630292328659,0.6181077764804075,300.1,280.67,287.08,290.72,285.88,288.89,6.464017326709458,288.14583400981866,0.7441659901813514,0.6624652144380995,314.79,287.78,300.46,299.56,301.55,300.828,8.57265746428727,300.0953063639145,0.7326936360854823,0.7100949900464834,303.75,320.81,275.36,291.5,282.16,294.716,16.15648798470756,294.45180486372874,0.26419513627128355,0.33177042600066264,283.86,284.32,285.39,269.7,275.12,279.678,6.196774644926182,279.32985734957197,0.34814265042804043,0.37378014657422354,305.07,283.3,292.39,285.21,291.4925,8.540211867980792,291.22237885324785,0.270121146752142,0.24587645263009414,278.65,279.16,287.54,285.68,296.56,285.518,6.5365752500831835,284.9441253044181,0.5738746955818751,0.5950050437386292
877,73.33583333333333,305.83,302.88,293.01,292.62,287.35,296.338,6.907663570267435,296.50218281708567,-0.1641828170856447,-0.11684454419559012,291.96,276.97,276.47,274.67,277.83,279.58000000000004,6.275654547535246,279.08436630333057,0.49563369666945994,0.45645673237934037,311.1,280.46,287.33,281.72,272.55,286.63199999999995,13.112545748251945,285.9645235964922,0.667476403507732,0.6177843521889161,299.96,280.99,287.67,290.49,284.84,288.79,6.4086784909215035,288.3541153744619,0.43588462553813007,0.6653177404461125,315.53,288.03,301.68,298.23,301.54,301.002,8.806459901685805,300.2963338021726,0.7056661978274086,0.7053198273706833,304.29,320.88,275.49,292.01,282.53,295.04,16.13165583565432,294.6558663834378,0.38413361656223843,0.33529202346628373,283.69,284.52,285.78,270.22,275.49,279.94,6.056820948319323,279.5267194159512,0.41328058404878737,0.37670106438972206,305.06,283.49,292.24,285.23,291.505,8.483721176464956,291.39341465058874,0.11158534941123881,0.24888231127615817,278.61,279.63,288.66,285.68,296.7,285.85600000000005,6.584122113083866,285.14328436714374,0.7127156328563128,0.5951225641266131
878,73.42194444444443,306.03,303.3,292.91,293.15,287.52,296.582,6.953823121132719,296.72589635813483,-0.14389635813483798,-0.054090394448141926,291.68,277.28,276.47,274.93,278.15,279.70200000000006,6.082188421941565,279.27318588388687,0.4288141161131754,0.45914450334968315,311.6,280.98,286.82,282.02,272.38,286.76000000000005,13.264159227029818,286.1738862089142,0.5861137910858193,0.6216023451453896,300.3,281.27,287.52,291.04,287.25,289.476,6.256588846967662,288.56262262282564,0.9133773771743782,0.6514945629881572,315.58,287.7,302.0,298.8,302.08,301.23199999999997,8.901726574097856,300.497490046331,0.7345099536690007,0.7001659230223971,304.36,320.21,276.24,292.53,282.82,295.23199999999997,15.679767090106914,294.8601298741105,0.3718701258894872,0.33391177560172214,284.1,284.69,285.69,270.38,275.8,280.132,6.021286905637368,279.7238315564482,0.4081684435518111,0.36737214581136873,305.18,283.54,292.99,285.54,291.8125,8.483146158707859,291.564524223607,0.24797577639297277,0.24587685927404287,279.07,279.71,288.25,285.95,296.57,285.90999999999997,6.392783431338812,285.3426982558266,0.5673017441733886,0.5978355411101841
879,73.50527777777778,306.97,303.93,293.12,293.27,287.99,297.056,7.177151524107604,296.950116412996,0.10588358700397388,0.013458130567115686,292.35,277.35,276.56,275.42,278.35,280.00600000000003,6.246235986576239,279.46223562391856,0.5437643760814572,0.46325242098361974,311.35,281.43,287.65,282.45,272.71,287.118,13.032320438049409,286.38345790245967,0.7345420975403104,0.6255113981103921,300.44,281.35,287.82,290.93,286.24,289.356,6.34818588259669,288.77135618933517,0.5846438106648512,0.6582452479145409,315.72,288.21,301.28,299.09,302.23,301.306,8.775348654042201,300.6987752779886,0.6072247220114058,0.7032830956010167,304.91,321.53,276.06,292.11,282.81,295.48400000000004,16.226826676833635,295.06459560261203,0.4194043973880217,0.3354294155998535,284.12,284.8,286.01,270.12,275.82,280.17400000000004,6.181746031664517,279.9211944004364,0.2528055995636675,0.3635427620400632,305.54,283.84,293.09,285.75,292.055,8.516978630946554,291.73570750112225,0.3192924988777394,0.2431726677993526,279.01,279.72,288.4,286.15,296.92,286.04,6.5317593342069795,285.5423677313068,0.49763226869322036,0.6030932145793866
880,73.5886111111111,306.83,303.9,293.45,293.45,288.39,297.204,6.976645612326884,297.17484576250877,0.029154237491241956,0.07669825375198888,292.32,277.62,276.68,275.12,278.76,280.1,6.225290354674225,279.6515163878562,0.4484836121438199,0.45792962179134017,311.89,281.64,287.87,282.77,272.8,287.394,13.17387809264986,286.59323903521687,0.8007609647831205,0.6267611532786463,300.69,281.77,287.97,291.1,286.52,289.61,6.303805200035932,288.9803165089678,0.6296834910322323,0.647719360523957,316.11,288.79,301.44,299.89,303.72,301.99,8.732923908978023,300.90018967914096,1.089810320859069,0.7042711633093526,304.83,320.51,275.91,293.46,283.18,295.57800000000003,15.825490071400623,295.2692638359243,0.3087361640757682,0.3388446765371502,284.67,285.13,285.87,270.45,275.87,280.39799999999997,6.165226354319853,280.1188085784379,0.2791914215620847,0.36121228312800024,305.93,283.87,292.81,285.59,292.04999999999995,8.687289565796693,291.90696441194507,0.14303558805486763,0.23745730803693044,279.04,279.96,287.94,286.65,297.14,286.146,6.528435034523965,285.7422935558855,0.4037064441145017,0.5904948229635562
881,73.67194444444443,307.22,304.27,294.07,293.82,288.51,297.578,7.02008945811947,297.40008719499525,0.17791280500472434,0.1426771905256084,292.65,277.93,277.05,275.68,278.76,280.414,6.202465961212512,279.84102904201234,0.5729709579876376,0.45952524040130593,311.94,281.52,287.31,282.8,273.41,287.396,13.066553638966926,286.8032299658399,0.5927700341601226,0.6281512522790141,301.06,282.2,288.4,291.03,286.77,289.892,6.2794757742983665,289.1895040172521,0.702495982747927,0.6487164655634777,315.83,288.87,301.64,299.26,302.61,301.642,8.614340137236276,301.10173343218,0.5402665678199945,0.6850799439536154,305.39,321.8,276.48,292.33,283.2,295.84000000000003,16.19890983986268,295.4741348411453,0.3658651588547319,0.3369072913736706,284.36,285.16,286.42,270.57,276.1,280.52200000000005,6.158312755942174,280.3166747221236,0.2053252778764642,0.3582800779786849,306.02,284.39,293.26,285.86,292.3825,8.561169239654118,292.07829488487687,0.3042051151231066,0.2317308511808593,279.48,280.29,289.65,286.78,297.81,286.80199999999996,6.712756214849446,285.9424764933245,0.8595235066754835,0.5841896032313155
882,73.75527777777778,307.77,304.66,294.39,294.29,288.9,298.00200000000007,7.062785286273403,297.6258435062605,0.376156493739587,0.20579214882440716,292.69,278.16,277.29,275.68,278.98,280.56000000000006,6.162801311092215,280.030774454581,0.5292255454190686,0.45923840956023193,312.4,282.01,288.4,282.94,273.53,287.856,13.16268148972693,287.0134310535485,0.8425689464514622,0.6293813361745126,301.05,282.19,288.65,291.72,286.86,290.09400000000005,6.288003180660779,289.3989191502685,0.6950808497315611,0.6424361272285671,316.57,289.02,302.48,300.85,301.81,302.146,8.743542988971921,301.30340671989455,0.8425932801054863,0.6821592549434307,304.91,321.48,276.68,293.99,283.36,296.084,15.910093148690239,295.67920888548974,0.40479111451027494,0.3544669929530746,285.07,285.57,286.53,271.26,276.2,280.926,6.0977195737423,280.5147934643131,0.41120653568692495,0.3585955143469176,306.27,284.44,293.31,286.02,292.51,8.620072505495529,292.2496988487095,0.2603011512904731,0.2301183684344681,280.0,280.64,288.59,286.94,297.59,286.752,6.384698583331863,286.14291730884605,0.6090826911539547,0.5805767908905861
