,Time[h],6803_WT_rep1,6803_deltaKaiA3_rep3,6803_deltaKaiC3_rep1,6803_deltaKaiA3B3_rep3,6803_deltaKaiB3C3_rep1,6803_deltaKaiA3B3C3_rep3,6803_WT_rep2,6803_deltaKaiA3_rep4,6803_deltaKaiC3_rep2,6803_deltaKaiA3B3_rep4,6803_deltaKaiB3C3_rep2,6803_deltaKaiA3B3C3_rep4,6803_WT_rep3,6803_deltaKaiB3_rep1,6803_deltaKaiC3_rep3,6803_deltaKaiA3C3_rep1,6803_deltaKaiB3C3_rep3,6803_deltaKaiA1B1C1_rep1,6803_WT_rep4,6803_deltaKaiB3_rep2,6803_deltaKaiC3_rep4,6803_deltaKaiA3C3_rep2,6803_deltaKaiB3C3_rep4,6803_deltaKaiA1B1C1_rep2,6803_deltaKaiA3_rep1,6803_deltaKaiB3_rep3,6803_deltaKaiA3B3_rep1,6803_deltaKaiA3C3_rep3,6803_deltaKaiA3B3C3_rep1,6803_deltaKaiA1B1C1_rep3,6803_Wilde_WT_rep1,6803_deltaKaiA3_rep2,6803_deltaKaiB3_rep4,6803_deltaKaiA3B3_rep2,6803_deltaKaiA3C3_rep4,6803_deltaKaiA3B3C3_rep2,6803_deltaKaiA1B1C1_rep4,6803_Wilde_WT_rep2
48,4.022222222222222,172.61303997180664,162.8810879946568,177.933459626366,157.8580112558427,161.91080546127031,163.06017419390545,172.68929904907654,147.8719198672334,155.80134857184532,165.71655715472158,157.889664354437,152.86029902754183,166.18707954416897,152.7072811658267,159.1725686214151,164.66269691138356,167.37111086097275,178.08279485547328,163.39176033626177,161.19493522985528,158.6000849404038,162.68583695462493,159.69957036958937,180.75724916256652,157.51128469043812,161.09891118658126,166.8423134522927,170.04427462532234,166.91056311468395,189.9822853025396,305.68864245619454,160.28295808535117,156.15230960419686,164.8296539547251,212.66375807097359,174.5617290678935,192.73200279712415,768.1626871925067
49,4.108333333333333,172.6533622420887,163.01637653680973,178.05811740828634,158.00202048180546,162.02971268268192,163.19464893924265,172.7193401331446,147.9944254759889,155.91496286038034,165.8480465324958,157.99719879315035,152.98403000608906,166.22141423176234,152.81114427224668,159.27803895008896,164.78283223751407,167.47482314634925,178.16914186929617,163.42288618936496,161.2584349340325,158.71809739937765,162.8116112116978,159.78677050382643,180.83529749347153,157.62298291490285,161.1775301690611,166.97139481388726,170.16149903479285,167.00851374234142,190.07198601876934,306.7067622079829,160.37507173982615,156.23006244266637,164.94276477725037,212.751765197217,174.66492154260482,192.82890651349965,755.9897768141695
50,4.191666666666666,172.69451914168343,163.15173559120024,178.18284569628204,158.1459509487123,162.14872162809323,163.32906954949868,172.75023025623918,148.11705099087027,156.0286793581025,165.97949869152623,158.10484312464135,153.10772793153495,166.25658092826947,152.91512483921048,159.3837187519383,164.90287755553132,167.57863602438707,178.2556919434664,163.45490060098132,161.3222036562987,158.83621150224425,162.9373277198628,159.87442282803855,180.91364800808117,157.7348751420366,161.25647206223707,167.10042988466762,170.27870434622872,167.10672598523203,190.16183041544713,307.7176303489023,160.46750115100778,156.30812462073146,165.05595861688434,212.839935765327,174.7682317066789,192.92589330836893,743.949244230344
51,4.275,172.73650695583672,163.28716492765233,178.30764436158458,158.28980332041542,162.26783197072376,163.46343666690424,172.78196562478516,148.23979586895817,156.14249765044366,166.1109140039471,158.21259692956247,153.23139326111982,166.29257590220615,153.01922258593444,159.48960690533474,165.02283368224047,167.6825491476444,178.34244492979533,163.48779954482916,161.38624082532067,158.95442689130596,163.06298711239373,159.96252545705136,180.9923004257159,157.84696051427719,161.33573584680917,167.22941899927878,170.39589093908913,167.20519898119474,190.25181853587898,308.7212833075819,160.56024487462858,156.38649482846762,165.16923512228936,212.92826965798363,174.8716592193687,193.0229633906223,732.0404865118599
52,4.358333333333333,172.77932197812274,163.42266431724582,178.43251327642477,158.43357826007318,162.3870433852137,163.59775093297108,172.81454245364264,148.36265956919507,156.2564173243784,166.24229284181212,158.32045979025423,153.35502645172343,166.32939543048113,153.1234372327963,159.5957022920159,165.1427014332142,167.78656217004485,178.42940067996997,163.52157900358003,161.4505458710923,159.07274321026176,163.18859002177027,160.05107650970007,181.07125446522423,157.95923817651516,161.4153205056375,167.3583624924088,170.5130591926006,167.3039318700404,190.34195042300186,309.71775742660583,160.6533014698752,156.46517175915258,165.2825939436096,213.0167667579902,174.97520374123096,193.12011696861126,720.2629018363901
53,4.441666666666666,172.822960510444,163.55823353231642,178.55745231403287,158.57727643015045,162.50635554762383,163.73201298849173,172.84795696610684,148.4856415523854,156.3704379684239,166.37363557709435,158.4284312907453,153.4786279598653,166.3670357983962,153.22776850133525,159.70200379708524,165.26248162279265,167.89067474687727,178.51655904555278,163.55623496885883,161.51511822493472,159.19116010420737,163.3141370796781,160.14007410882942,181.15050984498242,158.0717072760938,161.4952250237423,167.48726069878862,170.6302094857571,167.40292379355182,190.43222611938359,310.707088962513,160.7466694993882,156.54415410926643,165.39603473247126,213.10542694827348,175.07886493412644,193.21735425014842,708.6158894884497
54,4.525,172.86741886303125,163.69387234645563,178.6824613486386,158.72089849241846,162.62576813543552,163.86622347353975,172.88220539390798,148.60874128119542,156.48455917264,166.50494258168635,158.53651101675246,153.6021982417044,166.40549329964617,153.3322161142519,159.80851030901243,165.3821750640834,167.99488653479594,178.60391987798172,163.59176344124361,161.57995731949632,159.3096772196351,163.43962891700886,160.22951638129365,181.23006628289474,158.18436696280926,161.57544838830393,167.61611395319235,170.74734219732005,167.5021738954837,190.5226456672229,311.6893140857973,160.84034752926215,156.62344057849165,165.50955714198236,213.19425011188332,175.18264246121973,193.31467544250745,697.0988498593969
55,4.608333333333333,172.9126933544436,163.8295805345109,178.80754025547108,158.8644451079548,162.74528082755077,164.00038302746947,172.9172839772115,148.73195822015336,156.5987805286293,166.63621422740002,158.64469855568058,153.7257377530394,166.4447642363189,153.43677979540828,159.91522071963294,165.50178256896172,168.09919719182056,178.69148302857033,163.62816043026578,161.64506258875267,159.428294204434,163.56506616386025,160.31940145795645,181.30992349639337,158.29721638891033,161.6559895886628,167.74492259043706,170.8644577058183,167.60168132156267,190.61320910834937,312.66446888090746,160.9343341290457,156.7030298697129,165.62316082673283,213.2832361319931,175.28653598697937,193.41208075242324,685.7111844474321
56,4.691666666666666,172.95878031156843,163.96535787258549,178.93268891075886,159.00791693714342,162.86489330429217,164.13449228891622,172.95318896461785,148.8552918356493,156.71310162953696,166.76745088596672,158.7529934966227,153.84924694930854,166.48484491889525,153.5414592698279,160.02213392414836,165.62130494807016,168.2036063773361,178.77924834850762,163.66542195440996,161.71043346800653,159.54701070788974,163.6904494495359,160.40972747369113,181.39008120243835,158.4102547090986,161.7368476163195,167.8736869453828,170.98155638954805,167.70144521948723,190.70391648422358,313.63258934624724,161.02862787174152,156.78292068901726,165.73684544279462,213.3723848918994,175.3905451771778,193.50957038609178,674.4522958575988
57,4.775,173.00567606962142,164.10120413803847,179.0579071917298,159.15131463967472,162.9846052474029,164.2685518957962,172.98991661316265,148.97874159593516,156.82752207005086,166.89865292903724,158.86139543035992,153.97272628558972,166.5257316662491,153.64625426369562,160.1292488211262,165.7407430108189,168.30811375209288,178.86721568885818,163.70354404111404,161.7760693938879,159.6658263806847,163.81577940254533,160.50049256738046,181.4705391175177,158.52348108052846,161.8180214649347,168.00240735293266,171.09863862657303,167.80146473892782,190.794767835937,314.5937113941753,161.12322733380617,156.86311174569406,165.85061064772148,213.46169627502212,175.49466969889136,193.60714454917013,663.3215878017829
