,E007_Time[h],E007_6803_deltaKaiA3B3C3_rep1,E007_6803_deltaKaiA3B3C3_rep2,E007_6803_deltaKaiA3B3C3_rep3,E007_6803_deltaKaiA3B3C3_rep4,E007_6803_deltaKaiA3B3C3_rep5,E008_Time[h],E008_6803_deltaKaiA3B3C3_rep1,E008_6803_deltaKaiA3B3C3_rep2,E008_6803_deltaKaiA3B3C3_rep3,E008_6803_deltaKaiA3B3C3_rep4
743,62.13305555555555,0.0016965326630388,0.0125569241766121,0.0837879282046645,-0.0231880194580235,0.0459994911727401,62.13333333333333,0.3941759362464393,0.009627072112813,0.1136952666160878,0.2313101148837542
744,62.216388888888886,0.0158223593099744,0.0246905354308299,0.1061819683695602,-0.0125797792888118,0.0513813566883468,62.21666666666666,0.3918883656218339,0.0194160295909487,0.1261155681648243,0.2482353939801307
745,62.29972222222222,0.0323849617058788,0.0356340040163442,0.1184062243834653,-0.0053515582926325,0.0641839656275997,62.3,0.387262873082542,0.0298098066581404,0.1451172222246576,0.2587630006263187
746,62.38305555555555,0.0329836345943288,0.0551869561759466,0.1318603494358068,0.0090961238178198,0.082406883415143,62.38333333333333,0.4126989512951593,0.0460078384979975,0.160100085978888,0.2674927278784516
747,62.466388888888886,0.0482176705656415,0.070349017543318,0.1417439959581724,0.0197627461055407,0.095049674476642,62.46666666666666,0.388996090954364,0.0558095589902243,0.1588640173299164,0.2770243691530625
748,62.5525,0.0550863600568691,0.083119813143031,0.1578568156243084,0.0380477864092171,0.1059119022387845,62.55,0.4031537807829262,0.0616144007106138,0.1706088748992417,0.2813577182270787
749,62.63583333333333,0.0553889913518041,0.0946989673905509,0.1663984593501236,0.0509507213432249,0.1193931291292748,62.63611111111111,0.4273715075316978,0.057021794931055,0.1881345180274602,0.2948925692378295
750,62.719166666666666,0.057524850580978,0.106086104092233,0.1843685772936867,0.0676710262976332,0.1262929165768432,62.71944444444444,0.4190487559796191,0.0696311716195292,0.1992408067742688,0.3106287166830386
751,62.8025,0.0640932217216623,0.113880846445326,0.1977668188552274,0.0726081754381966,0.1364108250112364,62.80277777777778,0.4569850089337116,0.076641959440112,0.2117276019184621,0.3253659554208317
752,62.88583333333333,0.0704933865978653,0.1174828170379706,0.2081928326771355,0.0773616417063642,0.1397464138632242,62.88611111111111,0.4419797472290862,0.081053585752969,0.2265947649579355,0.3377040806697285
