,E007_Time[h],E007_6803_deltaKaiA3B3C3_rep1,E007_6803_deltaKaiA3B3C3_rep2,E007_6803_deltaKaiA3B3C3_rep3,E007_6803_deltaKaiA3B3C3_rep4,E007_6803_deltaKaiA3B3C3_rep5,E008_Time[h],E008_6803_deltaKaiA3B3C3_rep1,E008_6803_deltaKaiA3B3C3_rep2,E008_6803_deltaKaiA3B3C3_rep3,E008_6803_deltaKaiA3B3C3_rep4
302,25.26083333333333,0.908877368849604,0.9453162326054868,0.9652552789600524,0.9198859551731928,0.9821148661104,25.26111111111111,1.8268978277837584,1.2811402173488151,1.452668529532663,1.439719565836318
303,25.344166666666663,0.8856392711084542,0.9198421395600488,0.9434302527586348,0.9016508775140996,0.9631717844705312,25.344444444444445,1.83956787974106,1.2493216593310432,1.4290442323227794,1.4198626854834175
304,25.4275,0.8593391082112054,0.8892833664623314,0.923914526083456,0.8801456515482831,0.9277437324642936,25.427777777777777,1.8625315590804803,1.2226299248390728,1.407534353872244,1.3981345196691333
305,25.51083333333333,0.8269771244896121,0.8702398081719261,0.9003080863311179,0.8633702974835548,0.8982307160662035,25.51111111111111,1.8811892280828,1.2010650240795515,1.3805384342418057,1.3747347025141063
306,25.594166666666663,0.8085535621221724,0.8431113589393167,0.8728109201403826,0.8409248343034171,0.8726327402517993,25.594444444444445,1.898941247056883,1.1760269659552205,1.3554560142113126,1.351062868499377
307,25.6775,0.7888686611341205,0.8194979124058783,0.8442230133921724,0.8140092797670639,0.8441498089976385,25.677777777777777,1.9203879743396797,1.148715758064912,1.3276866352797103,1.329318652466383
308,25.76361111111111,0.7645226593974279,0.7891993616038773,0.8127443512095709,0.7984236504093793,0.8217819252812982,25.76111111111111,1.934129766296227,1.124731406703552,1.306029839665043,1.3109016896169583
309,25.846944444444443,0.739115792630808,0.7692155989564711,0.7911749179578219,0.7733679615409377,0.7993290910813793,25.84722222222222,1.9561669773196453,1.103273916862161,1.286085170304456,1.2840116155133383
310,25.93027777777778,0.7066482943997119,0.7447465162777102,0.7665146972443312,0.7544422272480018,0.7693913073775017,25.93055555555556,1.9628999598311447,1.0745432922278506,1.264652170854191,1.263048066078151
311,26.01361111111111,0.680920396116329,0.7183920047725364,0.7317636719186622,0.7266464603925279,0.7447685741503061,26.01388888888889,1.9155290642800185,1.0479395351838257,1.2349303856895897,1.2340106775944282
312,26.096944444444443,0.6589323270395886,0.6939519550367821,0.7097218240725418,0.7055806726121603,0.7310608903814538,26.09722222222222,1.8882546391436452,1.0218626468093843,1.2109193599050925,1.2126990867055958
313,26.18027777777778,0.6352843142751572,0.671626257057172,0.6811891350398559,0.6834448743202365,0.7016682540536264,26.18055555555556,1.85467703092749,0.9949126268799158,1.182618639314238,1.1821129304154805
314,26.26361111111111,0.6099765827754413,0.6432148002113227,0.6553655853966529,0.6620390747057816,0.6847906621505266,26.26388888888889,1.830196584165104,0.9636894738669052,1.1642277704496649,1.1588518460883035
315,26.346944444444443,0.5806093553395868,0.6133174732677416,0.638051154961139,0.6387632817335129,0.6574281106568791,26.34722222222222,1.7950136414181226,0.9357931849379284,1.1433463005631073,1.1255154714486877
316,26.43027777777778,0.5563828526134766,0.5855341643858285,0.6152458227936823,0.6170175021438382,0.6359805945584279,26.43055555555556,1.761328543276269,0.9154237559566551,1.1179737776254022,1.1029034445816497
317,26.51361111111111,0.5338972930897347,0.5676647611158743,0.591949567196812,0.590601741452855,0.6114481078419371,26.51388888888889,1.7343416283573516,0.8967811814828472,1.0919097503264827,1.0760154039326082
318,26.599722222222223,0.5045528931077217,0.5429091503990615,0.571962365715218,0.5717160039523516,0.5850306434951924,26.59722222222222,1.6944532333072648,0.8674654547723593,1.068753768075382,1.0570509883073758
319,26.683055555555555,0.4791498668535381,0.5234672185674649,0.5452841951357498,0.5505602927098062,0.5595281935070009,26.683333333333334,1.6600636927999863,0.847276567777141,1.0467053810002311,1.036409836872166
320,26.766388888888887,0.4538884263600226,0.4981388513440496,0.5207150314874172,0.5255346095683888,0.5331407488671901,26.766666666666666,1.6177733395375835,0.8200145111452307,1.021564139948261,1.020091589153591
321,26.849722222222223,0.4295687815067542,0.4709239338426735,0.4852548500413927,0.4976389551469584,0.5092682995666062,26.85,1.5823825042502064,0.7896792742207643,0.9947295964857992,1.0006958850386585
322,26.933055555555555,0.4029911400200489,0.444822350568086,0.4541036253110075,0.4746733288400652,0.4845108345971184,26.933333333333334,1.5480915156960915,0.7634708450439676,0.9714013028982742,0.9748223647747748
323,27.016388888888887,0.3839557074729628,0.4212339854159277,0.4350613310517541,0.4478377288179497,0.4550683419516154,27.016666666666666,1.508300700661562,0.7279892103511604,0.9397788121902128,0.9476706689697444
324,27.099722222222223,0.3594626872852909,0.3917587216727307,0.4045279402612856,0.4321321520265435,0.4241408086240066,27.1,1.4544103839610256,0.7038343555747552,0.9112616780852402,0.9232404385917694
325,27.183055555555555,0.3311122807235652,0.3645964420159189,0.384103425179416,0.4047565941874678,0.3973282206092242,27.183333333333334,1.4164208884369778,0.6746062648432568,0.8918494550260798,0.903531314969451
326,27.266388888888887,0.3113046869010581,0.3419470285138076,0.360387757288119,0.3795110497980341,0.3690305629032177,27.266666666666666,1.3883325349599973,0.6505049209812641,0.8683416981745551,0.8771429397917867
327,27.349722222222223,0.2876401027777813,0.3158103626256039,0.3375809073115294,0.3571955121312448,0.3370478195029595,27.35,1.3603456424287494,0.6321303055094681,0.8491379634115861,0.8494749551081727
328,27.43583333333333,0.2615187231604846,0.2929863252014067,0.3098828452159425,0.3248099732357929,0.3103799734064431,27.433333333333334,1.3158605277699862,0.6108823986446525,0.8258378073371943,0.8277270033284034
329,27.519166666666667,0.2401407407026561,0.2612747964822061,0.2910935402098152,0.2973544239360615,0.2822270066126803,27.51944444444444,1.2630775059385446,0.5855611792996943,0.7992407872704989,0.8040987272226712
330,27.6025,0.2149063459045224,0.2368756560998847,0.2700129607437628,0.274028853832125,0.2597889001217064,27.60277777777777,1.222996889917348,0.5601666250835631,0.7781464612497175,0.7849897699215655
331,27.68583333333333,0.1892157271130513,0.2163887830772151,0.2522410745105639,0.249633251299747,0.2348656339345755,27.68611111111111,1.2048189907174036,0.5344987123013213,0.754154388032167,0.7605997749160749
332,27.769166666666667,0.1612690705219477,0.1852140558278629,0.2275778484451551,0.2185676034903816,0.2130571870533632,27.76944444444444,1.1727441173778073,0.5143574159541247,0.7296641270942613,0.7381283860575857
333,27.8525,0.1336665601716543,0.1601513521563848,0.206423248724635,0.1904318963311755,0.186363537481166,27.85277777777777,1.1487725769657386,0.4847427097392214,0.7008752386315158,0.7135752475578814
334,27.93583333333333,0.113208377949354,0.1392005492582294,0.181377240768263,0.1648261145249632,0.1669846622221005,27.93611111111111,1.121704674576463,0.4562545660499528,0.6821872835585427,0.6931400039891442
335,28.019166666666667,0.0858947035889683,0.1245615237197367,0.1516397892374589,0.1457502415502711,0.142320537281303,28.01944444444444,1.101940713333332,0.4308929559757534,0.6625998235090536,0.6734223002839527
336,28.1025,0.0661257146711584,0.1004341515181378,0.1282108580358026,0.1238042596613161,0.1279711376649331,28.10277777777777,1.0796809943877828,0.4114578493021495,0.6457124208358589,0.6550217817352855
337,28.18583333333333,0.0389015866233227,0.0820183080215563,0.1046904103090354,0.100188149888005,0.1061364373801692,28.18611111111111,1.063925816919339,0.3859492145107616,0.6255246386108676,0.6251380939965187
338,28.271944444444443,0.0102224927195992,0.0625138679890065,0.0870784084450576,0.0763018920359355,0.0786164094352111,28.26944444444444,1.0282754781356114,0.3691670187793026,0.6086360406250877,0.5981708830814241
339,28.355277777777776,-0.0151113959191344,0.0381207055703951,0.0637748140739324,0.0499454646863944,0.059011025839279,28.355555555555554,1.0117302732722913,0.3509112279815779,0.5870461913886263,0.5721197953641748
340,28.43861111111111,-0.0360999103252647,0.0154386943065199,0.045179588067882,0.0301188451963617,0.0415202576026141,28.438888888888886,0.9874904955931612,0.3297818066874866,0.5647546561306874,0.5477844775793406
341,28.521944444444443,-0.0615428836844359,-0.0017322928709293,0.0204926905412889,0.0070220096985048,0.0259440747364775,28.522222222222226,0.9609564363900864,0.3075787181630191,0.5427610007995762,0.5273645768218878
342,28.605277777777776,-0.0866401513355539,-0.0247923836393712,0.0021140808506969,-0.0261450668988168,-0.001717553746848,28.605555555555554,0.9385283849830196,0.2841019243702605,0.5254647920626956,0.5026597405471821
343,28.68861111111111,-0.1105915507707881,-0.0483417062853336,-0.0195562824051871,-0.0531824109115529,-0.0170646598340592,28.688888888888886,0.8966066287199965,0.2601513859673876,0.5062655973065471,0.4814696165709872
344,28.771944444444443,-0.1329969216355671,-0.0671803897044511,-0.0375184413855004,-0.0792900498799633,-0.0400972765108328,28.772222222222226,0.8779914529771424,0.2439270623086711,0.4893629846367302,0.4605938530694642
345,28.855277777777776,-0.1528561057285817,-0.0823085634014679,-0.052372439007217,-0.1020680125686174,-0.0734154377618235,28.855555555555554,0.8510831411586651,0.2298289114444729,0.4681565228779452,0.4452320985791717
346,28.93861111111111,-0.1773689470017826,-0.101926357490237,-0.0737183189451509,-0.1187163289663942,-0.1000191785706666,28.938888888888886,0.8406819746968609,0.2130568901212505,0.4540457815739891,0.4287840019970675
347,29.021944444444443,-0.1995352915603832,-0.1148339026937187,-0.0905561256319544,-0.1502350302864817,-0.1155085349199762,29.022222222222226,0.8065882330521095,0.1902109537815515,0.4378303309877587,0.4164492125805067
348,29.10805555555556,-0.2195549876628571,-0.1404313303439826,-0.1128859042581218,-0.175424148966378,-0.1376835437913458,29.105555555555554,0.7804021937128778,0.1716910565640175,0.4153097421012499,0.394627379947241
349,29.191388888888888,-0.2434278857209393,-0.164318772382206,-0.1379077007719832,-0.1948837186678917,-0.1565442431653487,29.191666666666663,0.7631241321957175,0.1504971513033841,0.3914835866155566,0.3751181540754228
350,29.27472222222222,-0.257753838299625,-0.1892963613586757,-0.1596215618797107,-0.2158137742771384,-0.1824906720215354,29.275,0.7295543220452664,0.1284291895304782,0.3623514369508721,0.3529211853036005
351,29.35805555555556,-0.2759327001171733,-0.2069642304327848,-0.1776275350453142,-0.236414351904545,-0.2035228703384373,29.35833333333333,0.6952930348342483,0.1098871214722207,0.3499128662464879,0.3392361243307211
352,29.441388888888888,-0.2965643280451026,-0.2261225133730365,-0.2021256684906456,-0.2602854888848475,-0.2346408790935665,29.441666666666663,0.6521405401634736,0.0924708960516231,0.3359674483607936,0.321862622216129
353,29.52472222222222,-0.3194485811081905,-0.2441713445570414,-0.2249160111953933,-0.2810272237770913,-0.255244740263412,29.525,0.6168971056618359,0.0787804608877932,0.3163147578712788,0.3032003303795667
354,29.60805555555556,-0.3447853204844803,-0.2685108589715193,-0.2483986128970861,-0.2988395963646325,-0.2709344968234429,29.60833333333333,0.5751629969863161,0.0680157622959289,0.3059543700745329,0.2876489006011754
355,29.691388888888888,-0.3669744095052728,-0.2907411922122989,-0.2721735240910937,-0.3205226476551354,-0.2913101927481082,29.691666666666663,0.5467384778219816,0.0453767452873215,0.2944858609862419,0.2748079850214943
356,29.77472222222222,-0.386615713655133,-0.313262480484316,-0.2946407960306232,-0.3458764198805738,-0.315771873010835,29.775,0.516623809881985,0.0290633535693573,0.28090880734119,0.260277236141459
357,29.85805555555556,-0.4101091005718844,-0.3310748606016156,-0.316200480726721,-0.3677009564972314,-0.3315195835840315,29.85833333333333,0.4948192529075641,0.0068755295455131,0.2728227865932624,0.2418563068224042
358,29.944166666666664,-0.4284544400466121,-0.3473784699873502,-0.3344526309482746,-0.3901963021857022,-0.3565533714390832,29.941666666666663,0.4659250646680426,-0.00658678568464,0.2628273769154428,0.2203448502860626
359,30.0275,-0.4496516040236635,-0.3699734466737808,-0.3561973002220095,-0.4069625028508897,-0.3792732845463555,30.02777777777777,0.4219415009608304,-0.0227236523254392,0.2383221571998113,0.2067425201145643
360,30.11083333333333,-0.4573004666006461,-0.3874599293022785,-0.3830345428324916,-0.4241996056220051,-0.3982793718751943,30.11111111111111,0.4068688156114229,-0.0381351318851286,0.2215067070575507,0.1908489702504382
361,30.194166666666664,-0.4726009040284294,-0.4012380571233214,-0.4003644138221245,-0.4431076588525706,-0.415571683393924,30.194444444444443,0.3821072604734014,-0.0550212871758585,0.2135806068189382,0.1792638549966093
362,30.2775,-0.4877527947111442,-0.4135079699964958,-0.4195869689911531,-0.467486712120418,-0.4435502700698477,30.27777777777777,0.3588570854284313,-0.0679821823136872,0.2019434375333529,0.1633868290164027
363,30.36083333333333,-0.5009560192061817,-0.430069808390497,-0.4379022648976605,-0.4845368162276883,-0.460015183869249,30.36111111111111,0.3307185383862668,-0.0798178827185792,0.1913947809692716,0.1486175473335403
364,30.444166666666664,-0.5204104602241946,-0.4441237133831285,-0.4543103588575708,-0.5072580232008311,-0.4839664777573889,30.444444444444443,0.294091865284746,-0.0969284551144069,0.185534219614269,0.139155665332142
365,30.5275,-0.5345160026290974,-0.4578698266613022,-0.4808113089446461,-0.5218503862906083,-0.5018042056985106,30.52777777777777,0.2983773100897935,-0.1097139675289499,0.1725613366750205,0.125200838756726
366,30.61083333333333,-0.5512725334380639,-0.470508290521038,-0.5024051739904873,-0.5343139599720887,-0.5207284226558336,30.61111111111111,0.2871751147954189,-0.1223744892938949,0.1618757160772984,0.112552723712209
367,30.694166666666664,-0.5704799418215317,-0.4868392478674647,-0.5188920135845361,-0.5434487999446509,-0.5421391845915579,30.694444444444443,0.2522855194237178,-0.134510091044835,0.1484769424659746,0.0932109766639032
368,30.780277777777776,-0.5793381191031979,-0.5048628422148195,-0.5356718880740738,-0.5548549631319843,-0.5540365484668635,30.77777777777777,0.2571087620248716,-0.1459208447212707,0.1305646012050202,0.0745752544375223
369,30.86361111111111,-0.5964469587600214,-0.5207792176864481,-0.5543448585642194,-0.5667325076820873,-0.5672205722419092,30.863888888888887,0.2264450786771477,-0.1634068235666105,0.1155382783775045,0.0606452142191746
370,30.946944444444444,-0.6116063564222209,-0.536588519014804,-0.5681109869179313,-0.578681492967267,-0.5890913148758337,30.94722222222222,0.2018947034868984,-0.1717681021281676,0.1019975607855949,0.0452205135553687
371,31.030277777777776,-0.6242162098732787,-0.5516908915414492,-0.5785703357560108,-0.5899019795841411,-0.608848836326753,31.030555555555555,0.1872578685885628,-0.181404756257166,0.0911420359505585,0.0329008103530101
372,31.11361111111111,-0.637676419049936,-0.5648864812170549,-0.5895229684570934,-0.6085940293536367,-0.629293197551764,31.113888888888887,0.1643348041446655,-0.1895168631087337,0.0799712921127619,0.0220857628794023
373,31.196944444444444,-0.6595868860421963,-0.5785754346014002,-0.6081689491576578,-0.6217577053209891,-0.6446244605069429,31.19722222222222,0.1491257383458162,-0.193904501141907,0.0754849182316676,0.0155750297622463
374,31.280277777777776,-0.673947515093325,-0.5873578988633712,-0.6231083427520214,-0.633993071755746,-0.6472426881473446,31.280555555555555,0.140230897410712,-0.2027677501196298,0.0660825039858398,0.008368269989643
375,31.36361111111111,-0.685358212599847,-0.5972340217809651,-0.6313412148923403,-0.6417001941517622,-0.659747944427004,31.363888888888887,0.131050505586133,-0.2093066911087523,0.0467636397729408,-0.0067348570899114
376,31.446944444444444,-0.6956188871115491,-0.6056039517412861,-0.6402676319886098,-0.6488791392272024,-0.6661402942989352,31.44722222222222,0.1019847851469473,-0.2167214064800318,0.0379279167097301,-0.0169346917675219
377,31.530277777777776,-0.7091294493314804,-0.6138678377405458,-0.6610876612086662,-0.6567299749245421,-0.6722198037151306,31.530555555555555,0.0748339563961082,-0.2312119799081337,0.0221749266320686,-0.0202315739738939
378,31.61638888888889,-0.7152898121159491,-0.6150258293840656,-0.6706013704781835,-0.6580527704105645,-0.681386539626563,31.613888888888887,0.0753982376646542,-0.2391784963716289,0.0191042620949142,-0.0302258432793363
379,31.69972222222222,-0.721699890474526,-0.616678076886275,-0.6832088284806754,-0.6738475960763634,-0.6916405699831844,31.7,0.0716778453117109,-0.2406210421529973,0.0123155163723229,-0.0381178388937608
380,31.78305555555556,-0.734759601570043,-0.6254247310707122,-0.6905101046574948,-0.6837145235373423,-0.6991819637339252,31.78333333333333,0.0684729937244873,-0.243539704838624,0.009208283457451,-0.0417078996666797
381,31.86638888888889,-0.7436688647185931,-0.6352659433700223,-0.6993052692078352,-0.6898536256332135,-0.7044107908266962,31.866666666666664,0.0395838953182812,-0.2455345733188024,0.0067821580625523,-0.0471963640872079
382,31.94972222222222,-0.74802760138953,-0.635601865825961,-0.7073943930887283,-0.7004649764279991,-0.7099271222083874,31.95,0.032610760536474,-0.2480057377877326,0.0026367356189812,-0.0523835702840623
383,32.03305555555556,-0.7568357352054678,-0.6370326510893911,-0.7161775480150461,-0.7081486512100326,-0.7125310298248668,32.03333333333333,0.0157537978505326,-0.2515532897435226,-0.0012283877228113,-0.0548698560255625
384,32.116388888888885,-0.7658931919422846,-0.6439584524202834,-0.7164548064594994,-0.7137047264919533,-0.7226225866209839,32.11666666666667,0.0020132137600103,-0.2539773219881864,-0.0110136150932745,-0.0606555587196298
385,32.19972222222222,-0.7701998995291168,-0.649179423687718,-0.7144262416526386,-0.7151332800107126,-0.7290018665405645,32.2,-0.0120107872074521,-0.2650779286276465,-0.0181193489037584,-0.065941015413786
386,32.28305555555556,-0.7813557880483639,-0.6552957193698832,-0.7228919275828531,-0.7260343907275716,-0.7416689445264173,32.28333333333333,-0.0251180024961302,-0.27465520507173,-0.0267459908465152,-0.0757265627951578
387,32.366388888888885,-0.7859607897356854,-0.6653074945540751,-0.7218519389963736,-0.7286081388280996,-0.7504238965203265,32.36666666666667,-0.0535082315222137,-0.2777092480341737,-0.0356939418946981,-0.0788125371904713
388,32.4525,-0.7938148389800024,-0.6652149049366985,-0.7205063513972665,-0.7312546057221772,-0.755266799463059,32.45,-0.081981275673807,-0.2910401555326207,-0.0353636023023604,-0.0809992745660558
389,32.53583333333333,-0.7939178723234979,-0.6702181068232673,-0.7324552410474405,-0.7365738740439922,-0.7637977312943589,32.53611111111111,-0.1121369383109265,-0.2998480268886211,-0.0353553716044594,-0.0862871105278433
390,32.619166666666665,-0.7996698284616135,-0.6747172571284025,-0.7336986849666438,-0.7385660276520439,-0.7664167709529512,32.61944444444444,-0.1493750247655043,-0.3025329627276319,-0.0222696486168498,-0.0866763803213681
391,32.7025,-0.8012706482430544,-0.6787125133758345,-0.7304367609324618,-0.736631151629141,-0.7681239983765387,32.702777777777776,-0.1660953423413877,-0.3028950649790177,-0.0283068314362903,-0.0883674188317642
392,32.78583333333333,-0.7981202746697882,-0.6810040336984022,-0.7348695474803209,-0.7321693322823994,-0.7675194945018037,32.78611111111111,-0.1948977003143363,-0.3051344368760495,-0.0318673174404405,-0.0931605605837698
393,32.869166666666665,-0.7932186528970404,-0.6837919768380518,-0.7309971239034878,-0.7329806571432476,-0.770203341264408,32.86944444444444,-0.2063819099320249,-0.2976511829559054,-0.0305515032878607,-0.0922561397417244
394,32.9525,-0.7927657302332991,-0.6780765021458395,-0.7360195702530667,-0.7240652149674224,-0.7667756215989934,32.952777777777776,-0.2203477844140428,-0.3028454090596724,-0.0327597849180127,-0.0886544901095701
395,33.03583333333333,-0.7919614561403139,-0.680057769581929,-0.740936967338002,-0.7154230957349693,-0.7564364194391808,33.03611111111111,-0.2297951389518936,-0.3105172223323418,-0.0378925575512592,-0.09655594513085
396,33.119166666666665,-0.7856057822330957,-0.6821359397155915,-0.7407493967250764,-0.7156543906502446,-0.748185819717569,33.11944444444444,-0.2559237907089948,-0.3102667312228148,-0.0441502156888642,-0.1035608378887102
397,33.2025,-0.7866986622799154,-0.6833111737252087,-0.7394569407389151,-0.702559192141914,-0.744023908365738,33.202777777777776,-0.2709335588206778,-0.305894045483898,-0.0441331531129926,-0.111869501105899
398,33.28861111111111,-0.786640052202306,-0.6783836333982682,-0.7316596824619792,-0.6991375938629523,-0.7413507723142456,33.28611111111111,-0.2810242643941893,-0.3025992761723047,-0.0414417628867126,-0.110482267144765
399,33.371944444444445,-0.7858299100750619,-0.6705534811313676,-0.7323577057345718,-0.699189690690643,-0.7373664994926294,33.37222222222222,-0.2885957305086884,-0.2945825356486576,-0.0478764373539913,-0.1109994680072609
400,33.45527777777777,-0.7840681961262392,-0.6660208799302128,-0.7305510951548333,-0.6901155787265816,-0.732271178829408,33.45555555555556,-0.3022477822152506,-0.285243937577484,-0.0404375681396978,-0.1058214353349414
401,33.53861111111111,-0.7823548727371528,-0.6625859934096174,-0.7320399360787446,-0.684715355296671,-0.729264900252077,33.538888888888884,-0.3081802465368645,-0.2803835969272207,-0.0369255461496023,-0.1075485004089623
402,33.621944444444445,-0.7750899044423798,-0.6556489857935045,-0.7242243146201259,-0.6775891189511241,-0.7257477546871112,33.62222222222222,-0.313192952468434,-0.2764016299702082,-0.0387407615703769,-0.1083809941500809
403,33.70527777777777,-0.7700732579297609,-0.6550100219149046,-0.7219043176506366,-0.6701369694644637,-0.7221198340599662,33.70555555555556,-0.3208857309767751,-0.2738981542826976,-0.042083603869594,-0.114719247118658
404,33.78861111111111,-0.7665049020403951,-0.6440692672159578,-0.716880032799776,-0.6653590078355216,-0.7171812312950752,33.788888888888884,-0.3212584150006193,-0.2714732887448453,-0.0443544617957277,-0.1159635895146554
405,33.871944444444445,-0.7521848077686435,-0.6412268877479104,-0.711751548454882,-0.6560553362874395,-0.7053320403158531,33.87222222222222,-0.3237108394506123,-0.2673271535407152,-0.0513537233781547,-0.1167143511776383
406,33.95527777777777,-0.7483129482621287,-0.6360830501711185,-0.7051189537611322,-0.6404260582676682,-0.696172356044693,33.95555555555556,-0.3172428412093149,-0.2660598701582787,-0.0526817759271496,-0.1173718615867725
407,34.03861111111111,-0.7410892988217337,-0.6268379217550468,-0.6987823386215439,-0.6268712784479697,-0.6903022744029661,34.038888888888884,-0.3298542591312008,-0.2542715613894133,-0.0507390060338914,-0.1109364498608264
408,34.12472222222222,-0.7431138369016038,-0.614091670378269,-0.6931417936969742,-0.615391102724414,-0.6787218923110244,34.12222222222222,-0.306544934042659,-0.2531623513299043,-0.055125799570459,-0.1056084447581711
409,34.20805555555555,-0.7353865421091446,-0.6102444645284659,-0.678597410406119,-0.6003856382173801,-0.671631307688199,34.20833333333333,-0.3103147087419921,-0.2437323653794449,-0.0494425416898322,-0.1019881746767792
410,34.29138888888889,-0.7359073962050235,-0.6002964733024263,-0.6655492809255135,-0.5932549932715578,-0.6588306194527993,34.291666666666664,-0.3327634279994168,-0.2359817302416345,-0.047289616825894,-0.0994759676542239
411,34.37472222222222,-0.7324763831031686,-0.5956478664060486,-0.650197498189532,-0.5813992774559464,-0.6543199275221145,34.375,-0.3024909385570651,-0.230310573923979,-0.043867408693426,-0.0944721513676834
412,34.45805555555555,-0.7268934888707685,-0.5928988141543393,-0.6353421558903893,-0.5732186015638541,-0.6462993328124136,34.45833333333333,-0.312297089128981,-0.2243190257378923,-0.0427763002881126,-0.0925770531339359
413,34.54138888888889,-0.7231587017282745,-0.5858494874714133,-0.6239833484781384,-0.5627130776128989,-0.6303689372389433,34.541666666666664,-0.3215817304011255,-0.2248072162986962,-0.0388166738865387,-0.0781909999093623
414,34.62472222222222,-0.7130720120493983,-0.5691000578904944,-0.6121211711606727,-0.5488828188450088,-0.6143288437159335,34.625,-0.2903447150313717,-0.207375277525618,-0.0455889110461915,-0.0721143182899451
415,34.70805555555555,-0.7024334123611125,-0.5568506975539131,-0.5947557199037239,-0.5385279397264189,-0.6009791561565887,34.70833333333333,-0.3233858976495088,-0.2022233426417934,-0.0376933926054586,-0.0587473345112702
416,34.79138888888889,-0.692842897343652,-0.5479015792131097,-0.5800870914308645,-0.5318485559476783,-0.5909199794730957,34.791666666666664,-0.324905134857239,-0.1971515461742628,-0.0235304986836287,-0.0476903744485234
417,34.87472222222222,-0.6861004638305117,-0.5374528762286322,-0.5697153832235047,-0.5214447844236423,-0.5797514195766197,34.875,-0.2785022852281792,-0.1879600239539771,-0.0227006086808923,-0.0339437636164943
418,34.96083333333333,-0.6806061108084482,-0.5287047625701378,-0.5576406935208957,-0.5165167432934759,-0.5696735833773052,34.95833333333333,-0.2697772093078606,-0.1712489131157919,-0.0084041012783412,-0.028107827169574
419,35.04416666666666,-0.6659598394174777,-0.5174574128163921,-0.5450631213201269,-0.5076645519206551,-0.5602865787842748,35.044444444444444,-0.2419297696137271,-0.157818352098471,0.0039586455620318,-0.0209828899017547
420,35.1275,-0.6525616529508814,-0.5045110021552679,-0.5359827663761286,-0.4980883308929651,-0.5403905147056318,35.12777777777777,-0.2087598306351395,-0.1530684806446847,0.0193872545973332,-0.0123692762466331
421,35.21083333333333,-0.6372115568551977,-0.4890657063837473,-0.5197997292016687,-0.4913882020224991,-0.52218550104846,35.21111111111111,-0.2154672588333715,-0.1379994398010116,0.0280813493037684,-0.0116673102774056
422,35.29416666666666,-0.6175095587302287,-0.4751217019079208,-0.5079141110673562,-0.4705642883456619,-0.5066716487188208,35.294444444444444,-0.185051922641611,-0.1308113719179364,0.0310405538766398,-0.0088773157068718
423,35.3775,-0.5998556683290367,-0.4596791657429869,-0.4887260140016384,-0.4528167141231665,-0.4880490696217546,35.37777777777777,-0.1555136924649593,-0.1205044206498509,0.0360644932303504,0.0002003841125669
424,35.46083333333333,-0.5774498975579452,-0.4459382755132528,-0.469635540790801,-0.4381456048400354,-0.484117876661281,35.46111111111111,-0.1650524406804345,-0.1082787309550544,0.0461527929984013,0.009565466188907
425,35.54416666666666,-0.5634922604765389,-0.430499209452134,-0.457442794978972,-0.4201510872056018,-0.4706781837404011,35.544444444444444,-0.1808680416369656,-0.096534449095753,0.0571050795333915,0.0204176078905432
426,35.6275,-0.5577827732976637,-0.418162146402154,-0.4437478808681164,-0.4052332891535075,-0.4595301057610922,35.62777777777777,-0.1497603716553987,-0.0866717226380599,0.0673209799070205,0.0295564869462687
427,35.71083333333333,-0.542521454387425,-0.4037272658149461,-0.4203509035180384,-0.3935923398417036,-0.4448737586243137,35.71111111111111,-0.1213293090284935,-0.0732907004519957,0.0788001219100849,0.0371817814452733
428,35.79694444444444,-0.5329083242651946,-0.3979947477512504,-0.4078519687463837,-0.3754283696524521,-0.4263092592300025,35.794444444444444,-0.0883747340209214,-0.0621915327114881,0.0837421340524802,0.0444931698371438
429,35.88027777777778,-0.5263434056036,-0.3887647728809165,-0.3954511831286363,-0.3551415101923225,-0.412036725477076,35.88055555555555,-0.0696965288692723,-0.0485743708943717,0.0947466455632023,0.0560903309318685
430,35.963611111111106,-0.512426723228531,-0.3768375224829006,-0.3887486539981189,-0.3381318942921956,-0.39425627626343,35.96388888888889,-0.0670945777820474,-0.0378393677823887,0.102813286390344,0.062772943899832
431,36.04694444444444,-0.4997583041191406,-0.3614131784452697,-0.375944489445995,-0.3193996560072616,-0.3733680314859398,36.047222222222224,-0.0197687669396628,-0.0289866774611876,0.1131416872010991,0.0703406882718146
432,36.13027777777778,-0.4855381774078411,-0.3466919232651977,-0.3588387983212659,-0.2967449306170197,-0.3575721120404593,36.13055555555555,0.0150810155055507,-0.0204164553203249,0.1199314793817573,0.0795932439389971
433,36.21361111111111,-0.4651663743803085,-0.3298739400489668,-0.340831690230773,-0.2811678546252772,-0.3368686398218241,36.21388888888889,0.0712548794293491,-0.0027288580532628,0.1297822950377085,0.0903302911529575
434,36.29694444444444,-0.4482429284754757,-0.3153594125119693,-0.3305232755391984,-0.2692685657601538,-0.3180577377238458,36.297222222222224,0.059352932735573,0.0120759563426274,0.1352937669934429,0.1009515105256726
435,36.38027777777778,-0.4315678752855406,-0.3061485249787037,-0.3207136653690617,-0.2552472029740766,-0.2959395296393184,36.38055555555555,0.0829752813561492,0.0311978285660692,0.1486655287925462,0.1070565830295148
