,E007_Time[h],E007_6803_deltaKaiA3_rep1,E007_6803_deltaKaiA3_rep2,E007_6803_deltaKaiA3_rep3,E007_6803_deltaKaiA3_rep4,E007_6803_deltaKaiA3_rep5,E008_Time[h],E008_6803_deltaKaiA3_rep1,E008_6803_deltaKaiA3_rep2,E008_6803_deltaKaiA3_rep3,E008_6803_deltaKaiA3_rep4,E011_Time[h],E011_6803_deltaKaiA3_rep1,E011_6803_deltaKaiA3_rep2,E011_6803_deltaKaiA3_rep3,E011_6803_deltaKaiA3_rep4,E011_6803_deltaKaiA3_rep5
103,8.621944444444445,-1.0938164891285362,-1.243469437133358,-1.2721978626542438,-1.2184004652182754,-1.282203988417285,8.622222222222222,-1.503186354744621,-1.3939221884448922,-1.6624992181180347,-1.6557829711442953,8.622222222222222,-1.712086538444145,-1.8468818163301168,-1.7589867167679456,-1.83101786383438,-1.912179409710613
104,8.705277777777777,-1.1284967419302203,-1.2778215282342238,-1.30540428250064,-1.254782349041963,-1.316729860654045,8.705555555555556,-1.5471944528454251,-1.4320960004461851,-1.708510178725041,-1.7058332978770752,8.705555555555556,-1.758319661715631,-1.8984852857271552,-1.804542893088036,-1.8815791747344532,-1.971233017976076
105,8.788611111111111,-1.1657596226680944,-1.3160915210439037,-1.3371403746410495,-1.2904534288404532,-1.3531661493641152,8.788888888888888,-1.5955536476846934,-1.4691122517437676,-1.7471810686262292,-1.7509768499084313,8.788888888888888,-1.8044451756623725,-1.9559768534591573,-1.8553953882149403,-1.928240446542236,-2.0283868645883403
106,8.871944444444445,-1.196804368373471,-1.3484788365810578,-1.3708054990573433,-1.3172132714654512,-1.389712304789242,8.872222222222222,-1.6328632153755818,-1.5137696863137835,-1.7923117260898302,-1.7878131857922304,8.872222222222222,-1.8472639207345671,-2.0051582141603204,-1.9069458812945697,-1.9788032298977145,-2.0742425477525988
107,8.955277777777777,-1.2346302180062445,-1.3773828978444027,-1.4031990177672815,-1.3436614454012696,-1.4173677790027228,8.955555555555556,-1.6725224344840055,-1.554467051586392,-1.8325019906399311,-1.8237418659442333,8.955555555555556,-1.888376734899504,-2.056231058819722,-1.9583960477714737,-2.018469072022792,-2.1284016621353787
108,9.04138888888889,-1.266636412454885,-1.4008031298127146,-1.433720294824516,-1.3723975207648356,-1.4429320259094025,9.038888888888888,-1.7095305860286396,-1.5898030984457594,-1.8701517030564776,-1.8657624526420944,9.038888888888888,-1.9329844536415612,-2.099997074781325,-2.0027475593888444,-2.05603951672129,-2.1738657988645445
109,9.12472222222222,-1.289622194536444,-1.427738959444825,-1.4603686963185865,-1.4020210693056856,-1.4662045012456744,9.125,-1.7542869534809165,-1.629176581230063,-1.9136607053752728,-1.8978745100253644,9.1225,-1.977687909962208,-2.147857945743973,-2.042002084188516,-2.096516104378945,-2.219836545529298
110,9.208055555555555,-1.31938680899655,-1.455789815679624,-1.4909435903749235,-1.4289316644059673,-1.492584662579483,9.208333333333332,-1.7907908227650282,-1.6611862577314918,-1.950428840887978,-1.929677604095489,9.208333333333332,-2.009087934380002,-2.189015351761391,-2.080161286510961,-2.135500371963412,-2.2611154861801745
111,9.29138888888889,-1.344729502509411,-1.4859551294360576,-1.508844347154847,-1.4549288810804408,-1.5156719693103209,9.291666666666666,-1.8278414822579256,-1.6938308891962452,-1.9842559541421123,-1.965171302715806,9.291666666666666,-2.04318535493059,-2.235670969242189,-2.1230268269953,-2.177993853024262,-2.2995042013290483
112,9.37472222222222,-1.3698495236778152,-1.517634333613131,-1.5334703388555662,-1.476012295976477,-1.5450658826692305,9.375,-1.8582382227893184,-1.7325092403245328,-2.015341890941054,-1.9941551756115503,9.375,-2.0841809971667136,-2.272026470949858,-2.160600362579292,-2.2125980776929843,-2.333404267949128
113,9.458055555555555,-1.3949461230331266,-1.5416268630899062,-1.5542209397101814,-1.497381487374057,-1.5631658657188008,9.458333333333332,-1.8855803376416749,-1.7604200792705742,-2.0444864983440376,-2.026028794369849,9.458333333333332,-2.1134756841581988,-2.30508352600277,-2.195083546499335,-2.249714572682981,-2.370417259474957
114,9.54138888888889,-1.4216185530352898,-1.5651321547255008,-1.5710955259876829,-1.516436035185773,-1.580771383353174,9.541666666666666,-1.9158671225502213,-1.7877621776425994,-2.070089624666156,-2.0523917324397267,9.541666666666666,-2.1418702364919646,-2.336243799874181,-2.2578780282904733,-2.2849448612895755,-2.4057447458024197
115,9.62472222222222,-1.443866068072829,-1.5887496473590923,-1.5890934759929487,-1.5423755209568295,-1.6030819022980385,9.625,-1.9424978757029456,-1.8347343105028495,-2.096151119478359,-2.0872435651321,9.625,-2.17056547227202,-2.3699089543922285,-2.279785453786392,-2.3166904633900067,-2.4373882932887314
116,9.708055555555555,-1.4630879244628474,-1.6102787818099142,-1.6120141700667483,-1.561999527865042,-1.6224968911106317,9.708333333333332,-1.9686718977405904,-1.863335256367577,-2.125070833607457,-2.11578386961978,9.708333333333332,-2.1933622071194607,-2.4000806477399323,-2.3168074651194157,-2.348352895443429,-2.4685494647524475
117,9.79138888888889,-1.4836833804510248,-1.6337190008772562,-1.6322569905857411,-1.580107640720836,-1.6384158201797423,9.791666666666666,-2.000788491756661,-1.8881637972070424,-2.157848619136117,-2.137612224937476,9.791666666666666,-2.2194612541724767,-2.4329605344551952,-2.3377457007205105,-2.367533670490915,-2.4958298194734576
118,9.8775,-1.5028516962116216,-1.650069749340468,-1.6508213219624754,-1.597099445967248,-1.6510381617257073,9.875,-2.0280469632974194,-1.91761871844552,-2.1786843294028637,-2.1603282119817866,9.875,-2.242063424086344,-2.463150265430801,-2.3664017953192875,-2.386234298155454,-2.519230913192987
119,9.960833333333332,-1.5243921338474773,-1.6683304739589533,-1.6683065506453905,-1.6119745316799274,-1.6667633898004113,9.96111111111111,-2.049246620361885,-1.937498808961291,-2.204777819002078,-2.183931413511208,9.95861111111111,-2.260569525033432,-2.4880514879144187,-2.3921773799439965,-2.402256284641952,-2.5425542981136
120,10.044166666666666,-1.545503957390009,-1.6843006234721765,-1.6831120651188145,-1.6193324875671338,-1.6789909802872898,10.044444444444444,-2.072586773401841,-1.96180286108665,-2.225128943784003,-2.196821414146132,10.044444444444444,-2.2843803627031978,-2.512665845508596,-2.4080740819215305,-2.421601132737232,-2.564601522899192
121,10.1275,-1.560586432799213,-1.703179648599657,-1.6960372559029664,-1.6309729049697372,-1.678320410901327,10.127777777777778,-2.084666735321825,-1.9851296706079011,-2.2449375608547366,-2.215597800368842,10.127777777777778,-2.30709674030219,-2.5407949781707644,-2.4232935248774234,-2.4396703418100323,-2.581974132675001
122,10.210833333333332,-1.573438827963665,-1.7195670020409723,-1.7136815155539535,-1.6432953768612206,-1.6963511611890558,10.21111111111111,-2.099485821479134,-2.000278036765359,-2.269603528576234,-2.2306601605235192,10.21111111111111,-2.323319458554045,-2.558840522213238,-2.459437328735852,-2.465865407811012,-2.601073669027597
123,10.294166666666666,-1.5920604127005196,-1.7390621384757567,-1.7228442386637746,-1.6456994978476756,-1.7096827125285583,10.294444444444444,-2.1114433496838254,-2.0120467622533487,-2.2831267065663106,-2.2516080848162363,10.294444444444444,-2.341449315699492,-2.5784041103032136,-2.4691071097196344,-2.479587823272742,-2.6249016700048875
124,10.3775,-1.6064504587555075,-1.7472645145637036,-1.7339248218603167,-1.6673848641678073,-1.7149145481294656,10.377777777777778,-2.123138640198713,-2.0324346532202067,-2.299306955698639,-2.2726411653149623,10.377777777777778,-2.355087107496346,-2.598087371462769,-2.4771044803502287,-2.496039077309713,-2.6422596701161147
125,10.460833333333332,-1.6124082398029445,-1.761173588944562,-1.7375226638073584,-1.6749510736929305,-1.7234461530329588,10.46111111111111,-2.1321710157393725,-2.043240519268278,-2.313944138102749,-2.2793589959495604,10.46111111111111,-2.3712336272195182,-2.617491931068866,-2.483831049447737,-2.5098206556183325,-2.6577492003318586
126,10.544166666666666,-1.6173330314457186,-1.772588822238138,-1.7442371652045674,-1.676597725926972,-1.7316770141117677,10.544444444444444,-2.1493398014741363,-2.06126317345392,-2.32383811716403,-2.2855611725117875,10.544444444444444,-2.3798896656610027,-2.6394194108533457,-2.4962884221309007,-2.525334040476925,-2.671371788084035
127,10.6275,-1.630624111215301,-1.7817096770442953,-1.7452677287875005,-1.6843244220064688,-1.7378066200701712,10.627777777777778,-2.166044325024096,-2.0731014322875,-2.333588757523728,-2.2896472926552978,10.627777777777778,-2.3912560111298875,-2.651871428902936,-2.5100781998171064,-2.53678071074573,-2.683128957265896
128,10.71361111111111,-1.642680758571739,-1.788735617942956,-1.7472137593276054,-1.6953307647005698,-1.7466344614439966,10.71111111111111,-2.1816839164631023,-2.075954115733396,-2.344395925078945,-2.296816955895637,10.71111111111111,-2.38953344945235,-2.667649599659243,-2.516401980222379,-2.548962141866906,-2.6844222282320294
129,10.796944444444444,-1.65670225490366,-1.7976661114940993,-1.7450746636322183,-1.7060163584110346,-1.7505600306006213,10.797222222222222,-2.1834579083177648,-2.081220047209995,-2.3372594869826444,-2.302669763610248,10.79472222222222,-2.3889227639716584,-2.6795555339187587,-2.5240613573613877,-2.558479805864528,-2.69285311779836
130,10.880277777777778,-1.6638878835282715,-1.8099006262377595,-1.746449850544567,-1.7101808091722346,-1.7531828217389718,10.880555555555556,-2.1823656355674506,-2.082698053589697,-2.341779311643646,-2.306405319038466,10.880555555555556,-2.392824735548169,-2.688790838832854,-2.5310579215474407,-2.5595351713445846,-2.696823139242147
131,10.96361111111111,-1.6664369296913573,-1.8150386326940315,-1.747138730943767,-1.7060237246511507,-1.7555023308895232,10.963888888888889,-2.185206435644288,-2.086786965198911,-2.346355268726628,-2.3094232272815214,10.963888888888889,-2.399640142559329,-2.6873571179077835,-2.55319325939249,-2.568329703494987,-2.704533802301988
132,11.046944444444444,-1.675548680567281,-1.8166796033630648,-1.740540717744825,-1.7089447141473777,-1.7519180559142995,11.047222222222222,-2.187379648433163,-2.094885615818057,-2.3505872291521253,-2.3085230953025406,11.047222222222222,-2.4021697608996764,-2.6960559710046845,-2.553468953807129,-2.570864864085558,-2.707386613177815
133,11.130277777777778,-1.6746224252589863,-1.7998230127250678,-1.7410552258986391,-1.706543388593119,-1.7556294965068755,11.130555555555556,-2.1848846162717197,-2.0953928426815667,-2.3552750650965324,-2.311904531926542,11.130555555555556,-2.4044143639808366,-2.698088994339577,-2.5564865840005915,-2.5759421114680414,-2.706983074530897
134,11.21361111111111,-1.6772574547979944,-1.8058683372403064,-1.7386816723919938,-1.7102193605531908,-1.748636154192373,11.213888888888889,-2.18452068395036,-2.1063074864778795,-2.3602186499921003,-2.306967147840441,11.213888888888889,-2.4031747227315274,-2.701857780483363,-2.552847725480756,-2.5769629005760946,-2.709124685483842
135,11.296944444444444,-1.6790530621444058,-1.8166150553491012,-1.7434194762475657,-1.7069722442250188,-1.736937532327465,11.297222222222222,-2.1834871987122484,-2.1032283913494467,-2.36461785852694,-2.310710555593047,11.297222222222222,-2.407051605597556,-2.6955639183618247,-2.543353950054138,-2.571928682925294,-2.7038129416205887
136,11.380277777777778,-1.6824085421868995,-1.8168626474718348,-1.7376680585239208,-1.6988016554386416,-1.7311331361003712,11.380555555555556,-2.1853835102533044,-2.1043544048927307,-2.364072566645018,-2.306934369595063,11.380555555555556,-2.401845778541818,-2.69980899325563,-2.5430068258258998,-2.5586409066131304,-2.6984493349864147
137,11.46361111111111,-1.6843231917427337,-1.804210596008943,-1.7322268423155145,-1.693907211656707,-1.7194224725308611,11.463888888888889,-2.185808970722209,-2.0986843781582043,-2.3619826515461604,-2.303838206119086,11.463888888888889,-2.4027580050443014,-2.6957945868003272,-2.5352079171998416,-2.5515010163190146,-2.6842353540879342
138,11.549722222222222,-1.6815963095577455,-1.8020583853409196,-1.7160952527526931,-1.6952885319744766,-1.7142050504702566,11.547222222222222,-2.1869629347204005,-2.089417165650349,-2.357747991686049,-2.3002216832996107,11.547222222222222,-2.3987890461020824,-2.6925222769863457,-2.5187587848784063,-2.5471104533042714,-2.6799724838930965
139,11.633055555555556,-1.6726271963063506,-1.7456055018283172,-1.7116727170016914,-1.6851452371198206,-1.6982803806014233,11.633333333333333,-2.1850447593020768,-2.08995162532766,-2.359968466776228,-2.291884421133023,11.630833333333332,-2.3925396602293265,-2.6827936381590005,-2.522060985862681,-2.5416706554121458,-2.6722622058311893
140,11.716388888888888,-1.6608151545915435,-1.7354514338117446,-1.7009586642646346,-1.6772769494532211,-1.6868479754387806,11.716666666666669,-2.175053803974194,-2.081086618602641,-2.351443957784094,-2.2852260414776056,11.716666666666669,-2.387410603457292,-2.6838102410184863,-2.51371607345239,-2.5331830570677942,-2.669505997792834
141,11.799722222222222,-1.6543594889448985,-1.7275956716118686,-1.690752525779537,-1.6704832929677718,-1.6769073493282949,11.8,-2.164189430696467,-2.0710210103418065,-2.345974346932905,-2.282846168053534,11.8,-2.3772026293343256,-2.6719736526198825,-2.514125597245904,-2.518049089278297,-2.657705334129989
142,11.883055555555556,-1.6490595058265662,-1.711437707529413,-1.676853734820304,-1.6589638932891773,-1.672858018447481,11.883333333333333,-2.152251003881369,-2.0675536688656813,-2.335359517701776,-2.274544426442879,11.883333333333333,-2.3681164889258617,-2.648685436373148,-2.511091103140231,-2.5078701796326457,-2.641061685655949
143,11.966388888888888,-1.6403145136252797,-1.7025770358451582,-1.6600617266967312,-1.6515183776757532,-1.6644995008054049,11.966666666666669,-2.140437890394133,-2.0612834659488017,-2.320199354825681,-2.2677204440896075,11.966666666666669,-2.3655529308144274,-2.639547152043124,-2.4954141333310256,-2.4986477523017507,-2.6229765196453445
144,12.049722222222222,-1.6409238226583474,-1.696813152819944,-1.647575938754502,-1.6361463750184262,-1.65163131624268,12.05,-2.129149459552753,-2.0568092768197133,-2.30909374429545,-2.2555738502995792,12.05,-2.36211270109964,-2.6263603557495374,-2.480296226312579,-2.4879832280384395,-2.6112512998341435
145,12.133055555555556,-1.6352867451716595,-1.6739455566946646,-1.638795810375192,-1.6310475158407352,-1.6456529864314702,12.133333333333333,-2.118185083127977,-2.045329980160972,-2.301242573357772,-2.237104276240549,12.133333333333333,-2.342596543398205,-2.615326599966995,-2.487538916877828,-2.4716780241774563,-2.5914874864196484
146,12.216388888888888,-1.6256025953396835,-1.6695737476902734,-1.6247207829762655,-1.6224214322988288,-1.630764034875487,12.216666666666669,-2.109544135343314,-2.030444458109146,-2.291045730515195,-2.225111354942165,12.216666666666669,-2.331605198843919,-2.6024474335249854,-2.472343736118348,-2.458333554635461,-2.578486536060499
147,12.299722222222222,-1.6136706892654662,-1.6472972280077816,-1.6071503000110747,-1.6030677581814674,-1.6273639869099927,12.3,-2.093625992875033,-2.019751596254813,-2.286903105526122,-2.2091947212959737,12.3,-2.3113394060876677,-2.5785244016078805,-2.461512211424359,-2.4443512299110326,-2.5578499018766707
148,12.385833333333332,-1.6056903449806323,-1.6187155018282566,-1.5924838069688647,-1.5939861289100228,-1.6074523697017975,12.383333333333333,-2.07463003485216,-2.0052502836425603,-2.269214589404818,-2.18175401205541,12.383333333333333,-2.2957999012974275,-2.568159045754935,-2.44404586648472,-2.4289324570846644,-2.5371790334494757
149,12.469166666666666,-1.5912608824453869,-1.5984280753128228,-1.581720751374769,-1.5731761815384764,-1.5894287122492614,12.469444444444443,-2.0609556428564826,-1.9929394127709876,-2.257380074421402,-2.1683888658358104,12.466944444444444,-2.2735874181582645,-2.543752903860285,-2.424946221286935,-2.409878639818769,-2.5164753768215613
150,12.5525,-1.577381623548512,-1.5872344566026628,-1.5616605827898111,-1.5616375547534225,-1.5730925453822933,12.552777777777775,-2.0428022009225426,-1.975617879592704,-2.237799454101852,-2.1500989231144003,12.552777777777775,-2.251102687872334,-2.528307510172949,-2.409614792117148,-2.396991178357675,-2.500140374496912
